Rank ATR,Team,Conference,Games,wins,losses,Assist,Turnover,Ratio,Season
1,Green Bay ,Horizon ,34,27,7,648,373,1.74,2023-2024
2,Creighton ,Big East ,32,26,6,554,346,1.6,2023-2024
3,Colorado St. ,Mountain West ,31,20,11,453,283,1.6,2023-2024
4,Michigan St. ,Big Ten ,31,22,9,583,368,1.58,2023-2024
5,UConn ,Big East ,39,33,6,764,505,1.51,2023-2024
6,UNLV ,Mountain West ,33,30,3,520,344,1.51,2023-2024
7,Iowa ,Big Ten ,39,34,5,811,538,1.51,2023-2024
8,Gonzaga ,WCC ,36,32,4,702,477,1.47,2023-2024
9,Stanford ,Pac-12 ,36,30,6,659,448,1.47,2023-2024
10,South Carolina ,SEC ,38,38,0,702,495,1.42,2023-2024
11,Indiana ,Big Ten ,32,26,6,591,417,1.42,2023-2024
12,Utah ,Pac-12 ,34,23,11,660,470,1.4,2023-2024
13,Villanova ,Big East ,35,22,13,518,384,1.35,2023-2024
14,Colorado ,Pac-12 ,34,24,10,632,472,1.34,2023-2024
15,Virginia Tech ,ACC ,33,25,8,552,415,1.33,2023-2024
16,California Baptist ,WAC ,32,28,4,604,455,1.33,2023-2024
17,Ohio St. ,Big Ten ,32,26,6,562,425,1.32,2023-2024
18,Kansas St. ,Big 12 ,34,26,8,631,480,1.31,2023-2024
19,Oregon St. ,Pac-12 ,35,27,8,618,478,1.29,2023-2024
20,Toledo ,MAC ,34,28,6,556,442,1.26,2023-2024
21,Oklahoma ,Big 12 ,33,23,10,663,532,1.25,2023-2024
22,Southern California ,Pac-12 ,35,29,6,521,423,1.23,2023-2024
23,Washington St. ,Pac-12 ,36,21,15,551,451,1.22,2023-2024
24,Marquette ,Big East ,32,23,9,572,469,1.22,2023-2024
25,Mississippi St. ,SEC ,35,23,12,599,492,1.22,2023-2024
26,Northern Ariz. ,Big Sky ,35,25,10,559,472,1.18,2023-2024
27,Eastern Wash. ,Big Sky ,35,29,6,478,404,1.18,2023-2024
28,Texas ,Big 12 ,38,33,5,613,519,1.18,2023-2024
29,Holy Cross ,Patriot ,34,21,13,508,431,1.18,2023-2024
30,UCLA ,Pac-12 ,34,27,7,601,512,1.17,2023-2024
31,TCU ,Big 12 ,33,21,12,551,472,1.17,2023-2024
32,Nebraska ,Big Ten ,35,23,12,580,498,1.16,2023-2024
33,Notre Dame ,ACC ,35,28,7,568,489,1.16,2023-2024
34,Maine ,America East ,34,24,10,493,425,1.16,2023-2024
35,Baylor ,Big 12 ,34,26,8,616,534,1.15,2023-2024
36,Oral Roberts ,Summit League ,32,21,11,468,408,1.15,2023-2024
37,Iowa St. ,Big 12 ,33,21,12,620,541,1.15,2023-2024
38,Illinois ,Big Ten ,34,19,15,481,422,1.14,2023-2024
39,Georgia Tech ,ACC ,33,17,16,502,443,1.13,2023-2024
40,Drexel ,CAA ,34,19,15,521,460,1.13,2023-2024
41,Saint Joseph's ,Atlantic 10 ,34,28,6,501,444,1.13,2023-2024
42,Florida St. ,ACC ,34,23,11,443,393,1.13,2023-2024
43,DePaul ,Big East ,32,12,20,533,473,1.13,2023-2024
44,FGCU ,ASUN ,34,29,5,506,450,1.12,2023-2024
45,Drake ,MVC ,35,29,6,698,621,1.12,2023-2024
46,Santa Clara ,WCC ,34,25,9,510,458,1.11,2023-2024
47,Middle Tenn. ,CUSA ,35,30,5,460,414,1.11,2023-2024
48,Columbia ,Ivy League ,30,23,7,501,451,1.11,2023-2024
49,NC State ,ACC ,38,31,7,508,458,1.11,2023-2024
50,Montana ,Big Sky ,33,23,10,468,424,1.1,2023-2024
51,South Fla. ,AAC ,33,19,14,485,441,1.1,2023-2024
52,Wyoming ,Mountain West ,33,18,15,479,438,1.09,2023-2024
53,Belmont ,MVC ,35,26,9,553,507,1.09,2023-2024
54,Ball St. ,MAC ,34,28,6,529,486,1.09,2023-2024
55,Troy ,Sun Belt ,34,22,12,524,482,1.09,2023-2024
56,Murray St. ,MVC ,32,20,12,531,489,1.09,2023-2024
57,Richmond ,Atlantic 10 ,35,29,6,541,500,1.08,2023-2024
58,Virginia ,ACC ,32,16,16,503,465,1.08,2023-2024
59,Maryland ,Big Ten ,33,19,14,536,500,1.07,2023-2024
60,Northwestern ,Big Ten ,30,9,21,525,490,1.07,2023-2024
61,Tennessee Tech ,OVC ,31,16,15,523,489,1.07,2023-2024
62,SFA ,WAC ,34,22,12,561,527,1.06,2023-2024
63,Texas A&M ,SEC ,32,19,13,485,456,1.06,2023-2024
64,Vermont ,America East ,37,25,12,486,457,1.06,2023-2024
65,UNI ,MVC ,32,16,16,430,405,1.06,2023-2024
66,LSU ,SEC ,37,31,6,600,566,1.06,2023-2024
67,UT Arlington ,WAC ,33,17,16,518,489,1.06,2023-2024
68,Colgate ,Patriot ,34,20,14,485,458,1.06,2023-2024
69,Purdue ,Big Ten ,34,15,19,518,494,1.05,2023-2024
70,Princeton ,Ivy League ,30,25,5,413,394,1.05,2023-2024
71,Minnesota ,Big Ten ,36,20,16,508,485,1.05,2023-2024
72,Harvard ,Ivy League ,28,16,12,405,387,1.05,2023-2024
73,ULM ,Sun Belt ,35,21,14,498,477,1.04,2023-2024
74,Kent St. ,MAC ,32,21,11,450,432,1.04,2023-2024
75,South Dakota St. ,Summit League ,33,27,6,504,485,1.04,2023-2024
76,Penn St. ,Big Ten ,35,22,13,606,585,1.04,2023-2024
77,Butler ,Big East ,32,15,17,479,465,1.03,2023-2024
78,South Dakota ,Summit League ,36,23,13,568,554,1.03,2023-2024
79,Tennessee ,SEC ,33,20,13,506,494,1.02,2023-2024
80,Missouri St. ,MVC ,33,23,10,479,473,1.01,2023-2024
81,Fairfield ,MAAC ,33,31,2,567,560,1.01,2023-2024
82,Marshall ,Sun Belt ,33,26,7,543,537,1.01,2023-2024
83,Vanderbilt ,SEC ,33,23,10,487,484,1.01,2023-2024
84,SMU ,AAC ,30,14,16,441,439,1,2023-2024
85,Wright St. ,Horizon ,33,18,15,450,455,0.99,2023-2024
86,Grand Canyon ,WAC ,32,24,8,481,488,0.99,2023-2024
87,San Diego St. ,Mountain West ,35,22,13,463,470,0.99,2023-2024
88,UAB ,AAC ,32,18,14,445,452,0.98,2023-2024
89,Wofford ,SoCon ,30,17,13,356,362,0.98,2023-2024
90,Pacific ,WCC ,34,19,15,572,588,0.97,2023-2024
91,Oklahoma St. ,Big 12 ,30,14,16,419,431,0.97,2023-2024
92,Illinois St. ,MVC ,34,22,12,481,496,0.97,2023-2024
93,Temple ,AAC ,32,20,12,445,459,0.97,2023-2024
94,Milwaukee ,Horizon ,32,16,16,516,533,0.97,2023-2024
95,Boise St. ,Mountain West ,35,21,14,511,528,0.97,2023-2024
96,Arizona ,Pac-12 ,34,18,16,493,510,0.97,2023-2024
97,Washington ,Pac-12 ,31,16,15,407,423,0.96,2023-2024
98,West Virginia ,Big 12 ,33,25,8,474,493,0.96,2023-2024
99,North Carolina ,ACC ,33,20,13,414,431,0.96,2023-2024
100,Binghamton ,America East ,31,14,17,416,435,0.96,2023-2024
101,Seton Hall ,Big East ,32,17,15,420,440,0.95,2023-2024
102,Buffalo ,MAC ,33,19,14,436,458,0.95,2023-2024
103,Boston College ,ACC ,33,14,19,491,517,0.95,2023-2024
104,San Francisco ,WCC ,30,14,16,440,465,0.95,2023-2024
105,Lehigh ,Patriot ,30,17,13,457,483,0.95,2023-2024
106,Col. of Charleston ,CAA ,32,22,10,402,425,0.95,2023-2024
107,Ark.-Pine Bluff ,SWAC ,33,17,16,511,541,0.94,2023-2024
108,Lamar University ,Southland ,31,24,7,400,424,0.94,2023-2024
109,Bowling Green ,MAC ,31,16,15,444,471,0.94,2023-2024
110,Tulane ,AAC ,32,12,20,506,537,0.94,2023-2024
111,Southern Utah ,WAC ,30,8,22,427,454,0.94,2023-2024
