Rank APG,Team,Conference,Games,Wins,losses,Assist,AssistPerGame,Season
1,Iowa ,Big Ten ,39,34,5,811,20.8,2023-2024
2,Oklahoma ,Big 12 ,33,23,10,663,20.1,2023-2024
3,Drake ,MVC ,35,29,6,698,19.9,2023-2024
4,UConn ,Big East ,39,33,6,764,19.6,2023-2024
5,Gonzaga ,WCC ,36,32,4,702,19.5,2023-2024
6,Utah ,Pac-12 ,34,23,11,660,19.4,2023-2024
7,Green Bay ,Horizon ,34,27,7,648,19.1,2023-2024
8,California Baptist ,WAC ,32,28,4,604,18.9,2023-2024
9,Michigan St. ,Big Ten ,31,22,9,583,18.8,2023-2024
10,Iowa St. ,Big 12 ,33,21,12,620,18.8,2023-2024
11,Colorado ,Pac-12 ,34,24,10,632,18.6,2023-2024
12,Kansas St. ,Big 12 ,34,26,8,631,18.6,2023-2024
13,South Carolina ,SEC ,38,38,0,702,18.5,2023-2024
14,Indiana ,Big Ten ,32,26,6,591,18.5,2023-2024
15,Stanford ,Pac-12 ,36,30,6,659,18.3,2023-2024
16,Baylor ,Big 12 ,34,26,8,616,18.1,2023-2024
17,Marquette ,Big East ,32,23,9,572,17.9,2023-2024
18,UCLA ,Pac-12 ,34,27,7,601,17.7,2023-2024
19,Oregon St. ,Pac-12 ,35,27,8,618,17.7,2023-2024
20,Ohio St. ,Big Ten ,32,26,6,562,17.6,2023-2024
21,Northwestern ,Big Ten ,30,9,21,525,17.5,2023-2024
22,Penn St. ,Big Ten ,35,22,13,606,17.3,2023-2024
23,Creighton ,Big East ,32,26,6,554,17.3,2023-2024
24,Fairfield ,MAAC ,33,31,2,567,17.2,2023-2024
25,Mississippi St. ,SEC ,35,23,12,599,17.1,2023-2024
26,Tennessee Tech ,OVC ,31,16,15,523,16.9,2023-2024
27,Pacific ,WCC ,34,19,15,572,16.8,2023-2024
28,Virginia Tech ,ACC ,33,25,8,552,16.7,2023-2024
29,Columbia ,Ivy League ,30,23,7,501,16.7,2023-2024
30,TCU ,Big 12 ,33,21,12,551,16.7,2023-2024
31,DePaul ,Big East ,32,12,20,533,16.7,2023-2024
32,Murray St. ,MVC ,32,20,12,531,16.6,2023-2024
33,Nebraska ,Big Ten ,35,23,12,580,16.6,2023-2024
34,SFA ,WAC ,34,22,12,561,16.5,2023-2024
35,Marshall ,Sun Belt ,33,26,7,543,16.5,2023-2024
36,Toledo ,MAC ,34,28,6,556,16.4,2023-2024
37,Portland ,WCC ,34,21,13,555,16.3,2023-2024
38,Maryland ,Big Ten ,33,19,14,536,16.2,2023-2024
39,Notre Dame ,ACC ,35,28,7,568,16.2,2023-2024
40,LSU ,SEC ,37,31,6,600,16.2,2023-2024
41,Texas ,Big 12 ,38,33,5,613,16.1,2023-2024
42,Milwaukee ,Horizon ,32,16,16,516,16.1,2023-2024
43,Northern Ariz. ,Big Sky ,35,25,10,559,16,2023-2024
44,Tulane ,AAC ,32,12,20,506,15.8,2023-2024
45,Belmont ,MVC ,35,26,9,553,15.8,2023-2024
46,South Dakota ,Summit League ,36,23,13,568,15.8,2023-2024
47,UNLV ,Mountain West ,33,30,3,520,15.8,2023-2024
