Rank BPPG,Team,Conference,Games,wins,losses,Bench,Average,Season
1,Murray St. ,MVC ,32,20,12,"1,133",35.4,2023-2024
2,South Carolina ,SEC ,38,38,0,"1,288",33.9,2023-2024
3,Grambling ,SWAC ,33,23,10,"1,061",32.2,2023-2024
4,UIC ,MVC ,34,18,16,"1,032",30.4,2023-2024
5,George Mason ,Atlantic 10 ,31,23,8,919,29.6,2023-2024
6,UMES ,MEAC ,30,15,15,865,28.8,2023-2024
7,UNLV ,Mountain West ,33,30,3,933,28.3,2023-2024
8,Kansas City ,Summit League ,32,12,20,895,28,2023-2024
9,James Madison ,Sun Belt ,35,23,12,974,27.8,2023-2024
10,Utah Valley ,WAC ,29,10,19,806,27.8,2023-2024
11,Florida ,SEC ,32,16,16,863,27,2023-2024
12,Jackson St. ,SWAC ,33,26,7,875,26.5,2023-2024
13,Niagara ,MAAC ,35,21,14,922,26.3,2023-2024
14,Houston ,Big 12 ,30,14,16,783,26.1,2023-2024
15,Southeastern La. ,Southland ,31,19,12,799,25.8,2023-2024
16,Michigan St. ,Big Ten ,31,22,9,795,25.6,2023-2024
17,Ga. Southern ,Sun Belt ,33,15,18,845,25.6,2023-2024
18,UC Irvine ,Big West ,32,23,9,808,25.3,2023-2024
19,Penn St. ,Big Ten ,35,22,13,881,25.2,2023-2024
20,Jacksonville St. ,CUSA ,29,12,17,727,25.1,2023-2024
21,South Dakota ,Summit League ,36,23,13,899,25,2023-2024
22,Prairie View ,SWAC ,29,11,18,723,24.9,2023-2024
23,FIU ,CUSA ,33,21,12,808,24.5,2023-2024
24,Miami FL ,ACC ,31,19,12,759,24.5,2023-2024
25,North Texas ,AAC ,32,23,9,782,24.4,2023-2024
26,Oklahoma ,Big 12 ,33,23,10,804,24.4,2023-2024
27,Oregon St. ,Pac-12 ,35,27,8,852,24.3,2023-2024
28,Furman ,SoCon ,31,15,16,754,24.3,2023-2024
29,Omaha ,Summit League ,31,8,23,752,24.3,2023-2024
30,Monmouth ,CAA ,32,22,10,774,24.2,2023-2024
31,New Hampshire ,America East ,29,9,20,693,23.9,2023-2024
32,Baylor ,Big 12 ,34,26,8,805,23.7,2023-2024
33,Southern U. ,SWAC ,30,15,15,709,23.6,2023-2024
34,Texas Southern ,SWAC ,29,7,22,685,23.6,2023-2024
35,Georgia St. ,Sun Belt ,30,15,15,708,23.6,2023-2024
36,High Point ,Big South ,32,20,12,754,23.6,2023-2024
37,Louisville ,ACC ,34,24,10,801,23.6,2023-2024
38,A&M-Corpus Christi ,Southland ,32,23,9,745,23.3,2023-2024
39,Memphis ,AAC ,30,13,17,696,23.2,2023-2024
40,Marshall ,Sun Belt ,33,26,7,761,23.1,2023-2024
41,Rice ,AAC ,34,19,15,782,23,2023-2024
42,Delaware ,CAA ,31,11,20,710,22.9,2023-2024
43,Green Bay ,Horizon ,34,27,7,776,22.8,2023-2024
44,Ohio ,MAC ,30,11,19,683,22.8,2023-2024
45,Oral Roberts ,Summit League ,32,21,11,728,22.8,2023-2024
46,Virginia ,ACC ,32,16,16,727,22.7,2023-2024
47,Ball St. ,MAC ,34,28,6,771,22.7,2023-2024
48,Western Ill. ,OVC ,30,18,12,679,22.6,2023-2024
49,Nebraska ,Big Ten ,35,23,12,791,22.6,2023-2024
50,Oakland ,Horizon ,29,12,17,655,22.6,2023-2024
