Rank BPG,Team,Conference,Games,Wins,Losses,Blocks,BlocksPerGame,Season
1,South Carolina ,SEC ,38,38,0,297,7.8,2023-2024
2,Boise St. ,Mountain West ,35,21,14,216,6.2,2023-2024
3,Southern California ,Pac-12 ,35,29,6,210,6,2023-2024
4,Monmouth ,CAA ,32,22,10,187,5.8,2023-2024
5,Ole Miss ,SEC ,33,24,9,190,5.8,2023-2024
6,Duke ,ACC ,34,22,12,194,5.7,2023-2024
7,Richmond ,Atlantic 10 ,35,29,6,199,5.7,2023-2024
8,Virginia Tech ,ACC ,33,25,8,185,5.6,2023-2024
9,Portland ,WCC ,34,21,13,189,5.6,2023-2024
10,LSU ,SEC ,37,31,6,200,5.4,2023-2024
11,Stanford ,Pac-12 ,36,30,6,192,5.3,2023-2024
12,East Carolina ,AAC ,33,19,14,175,5.3,2023-2024
13,Kansas St. ,Big 12 ,34,26,8,178,5.2,2023-2024
14,Arkansas ,SEC ,33,18,15,172,5.2,2023-2024
15,Washington St. ,Pac-12 ,36,21,15,186,5.2,2023-2024
16,Jackson St. ,SWAC ,33,26,7,170,5.2,2023-2024
17,NJIT ,America East ,30,12,18,151,5,2023-2024
18,Middle Tenn. ,CUSA ,35,30,5,175,5,2023-2024
18,Chicago St. ,DI Independent ,27,1,26,135,5,2023-2024
20,Boston U. ,Patriot ,32,20,12,158,4.9,2023-2024
21,North Carolina ,ACC ,33,20,13,160,4.8,2023-2024
21,TCU ,Big 12 ,33,21,12,160,4.8,2023-2024
23,Ga. Southern ,Sun Belt ,33,15,18,159,4.8,2023-2024
24,Villanova ,Big East ,35,22,13,168,4.8,2023-2024
25,Drake ,MVC ,35,29,6,165,4.7,2023-2024
26,Tulsa ,AAC ,35,25,10,164,4.7,2023-2024
27,Notre Dame ,ACC ,35,28,7,163,4.7,2023-2024
28,UCLA ,Pac-12 ,34,27,7,158,4.6,2023-2024
29,Colorado St. ,Mountain West ,31,20,11,144,4.6,2023-2024
30,Oregon St. ,Pac-12 ,35,27,8,162,4.6,2023-2024
30,Mississippi St. ,SEC ,35,23,12,162,4.6,2023-2024
32,UTSA ,AAC ,33,18,15,152,4.6,2023-2024
33,Texas ,Big 12 ,38,33,5,173,4.6,2023-2024
34,Florida St. ,ACC ,34,23,11,154,4.5,2023-2024
35,Alabama ,SEC ,34,24,10,153,4.5,2023-2024
36,Syracuse ,ACC ,32,24,8,143,4.5,2023-2024
36,Wisconsin ,Big Ten ,32,15,17,143,4.5,2023-2024
38,Virginia ,ACC ,32,16,16,142,4.4,2023-2024
39,Memphis ,AAC ,30,13,17,133,4.4,2023-2024
40,South Dakota St. ,Summit League ,33,27,6,146,4.4,2023-2024
41,Ark.-Pine Bluff ,SWAC ,33,17,16,144,4.4,2023-2024
42,Davidson ,Atlantic 10 ,26,18,8,113,4.3,2023-2024
43,Indiana ,Big Ten ,32,26,6,139,4.3,2023-2024
43,Oregon ,Pac-12 ,32,11,21,139,4.3,2023-2024
45,NC State ,ACC ,38,31,7,165,4.3,2023-2024
46,Washington ,Pac-12 ,31,16,15,134,4.3,2023-2024
47,Penn St. ,Big Ten ,35,22,13,150,4.3,2023-2024
48,Liberty ,CUSA ,34,18,16,143,4.2,2023-2024
49,N.C. Central ,MEAC ,31,16,15,130,4.2,2023-2024
50,UNC Greensboro ,SoCon ,33,21,12,138,4.2,2023-2024
51,Rutgers ,Big Ten ,32,8,24,132,4.1,2023-2024
52,IU Indy ,Horizon ,30,7,23,123,4.1,2023-2024
53,UT Arlington ,WAC ,33,17,16,135,4.1,2023-2024
54,Duquesne ,Atlantic 10 ,34,21,13,139,4.1,2023-2024
55,Houston Christian ,Southland ,29,6,23,118,4.1,2023-2024
56,Northwestern ,Big Ten ,30,9,21,122,4.1,2023-2024
57,Pittsburgh ,ACC ,32,8,24,130,4.1,2023-2024
58,Wright St. ,Horizon ,33,18,15,134,4.1,2023-2024
59,Texas A&M ,SEC ,32,19,13,129,4,2023-2024
60,South Fla. ,AAC ,33,19,14,133,4,2023-2024
60,Austin Peay ,ASUN ,33,17,16,133,4,2023-2024
62,Illinois St. ,MVC ,34,22,12,137,4,2023-2024
63,Houston ,Big 12 ,30,14,16,120,4,2023-2024
63,Georgetown ,Big East ,35,23,12,140,4,2023-2024
63,Auburn ,SEC ,32,20,12,128,4,2023-2024
63,Mercer ,SoCon ,32,15,17,128,4,2023-2024
63,Texas Southern ,SWAC ,29,7,22,116,4,2023-2024
68,Kansas ,Big 12 ,33,20,13,131,4,2023-2024
69,Penn ,Ivy League ,28,15,13,111,4,2023-2024
70,Alabama St. ,SWAC ,29,3,26,114,3.9,2023-2024
71,Eastern Ill. ,OVC ,33,15,18,129,3.9,2023-2024
72,Arizona ,Pac-12 ,34,18,16,132,3.9,2023-2024
73,UConn ,Big East ,39,33,6,151,3.9,2023-2024
74,Vermont ,America East ,37,25,12,143,3.9,2023-2024
75,Kansas City ,Summit League ,32,12,20,123,3.8,2023-2024
76,Cal Poly ,Big West ,31,17,14,119,3.8,2023-2024
77,Central Mich. ,MAC ,28,6,22,107,3.8,2023-2024
78,Oklahoma ,Big 12 ,33,23,10,126,3.8,2023-2024
79,Marquette ,Big East ,32,23,9,122,3.8,2023-2024
80,Belmont ,MVC ,35,26,9,133,3.8,2023-2024
81,Coastal Carolina ,Sun Belt ,33,12,21,125,3.8,2023-2024
82,Miami FL,ACC ,31,19,12,117,3.8,2023-2024
83,Samford ,SoCon ,30,14,16,113,3.8,2023-2024
83,Southern Utah ,WAC ,30,8,22,113,3.8,2023-2024
85,Montana St. ,Big Sky ,33,17,16,124,3.8,2023-2024
86,UAlbany ,America East ,32,25,7,120,3.8,2023-2024
86,Youngstown St. ,Horizon ,32,14,18,120,3.8,2023-2024
88,Brown ,Ivy League ,27,16,11,101,3.7,2023-2024
89,Holy Cross ,Patriot ,34,21,13,127,3.7,2023-2024
90,BYU ,Big 12 ,33,16,17,123,3.7,2023-2024
91,Hampton ,CAA ,29,3,26,108,3.7,2023-2024
91,Eastern Mich. ,MAC ,29,7,22,108,3.7,2023-2024
93,Creighton ,Big East ,32,26,6,119,3.7,2023-2024
93,Kent St. ,MAC ,32,21,11,119,3.7,2023-2024
95,SFA ,WAC ,34,22,12,126,3.7,2023-2024
96,Manhattan ,MAAC ,30,18,12,111,3.7,2023-2024
97,Providence ,Big East ,34,13,21,125,3.7,2023-2024
98,Lehigh ,Patriot ,30,17,13,110,3.7,2023-2024
99,Fordham ,Atlantic 10 ,29,12,17,106,3.7,2023-2024
100,Bucknell ,Patriot ,31,13,18,113,3.6,2023-2024
101,CSUN ,Big West ,30,3,27,109,3.6,2023-2024
101,Morgan St. ,MEAC ,30,8,22,109,3.6,2023-2024
103,Prairie View ,SWAC ,29,11,18,105,3.6,2023-2024
104,Marist ,MAAC ,31,6,25,112,3.6,2023-2024
105,Princeton ,Ivy League ,30,25,5,108,3.6,2023-2024
106,Towson ,CAA ,31,20,11,111,3.6,2023-2024
106,Tennessee Tech ,OVC ,31,16,15,111,3.6,2023-2024
106,Navy ,Patriot ,31,14,17,111,3.6,2023-2024
109,Central Ark. ,ASUN ,33,21,12,118,3.6,2023-2024
110,Utah St. ,Mountain West ,30,5,25,107,3.6,2023-2024
111,Rhode Island ,Atlantic 10 ,35,21,14,124,3.5,2023-2024
112,North Ala. ,ASUN ,30,12,18,105,3.5,2023-2024
112,A&M-Corpus Christi ,Southland ,32,23,9,112,3.5,2023-2024
114,Northern Ariz. ,Big Sky ,35,25,10,122,3.5,2023-2024
115,Stony Brook ,CAA ,33,28,5,115,3.5,2023-2024
115,Vanderbilt ,SEC ,33,23,10,115,3.5,2023-2024
117,Michigan St. ,Big Ten ,31,22,9,107,3.5,2023-2024
118,Indiana St. ,MVC ,32,11,21,110,3.4,2023-2024
119,Charlotte ,AAC ,31,16,15,106,3.4,2023-2024
