Rank FGPCT,Team,Conference,Games,Wins,Losses,FieldGoalsMade,FieldGoalAttempted,FieldGoalPercentage,Season
1,Indiana ,Big Ten ,32,26,6,941,"1,867",50.4,2023-2024
2,UConn ,Big East ,39,33,6,"1,192","2,402",49.6,2023-2024
3,Iowa ,Big Ten ,39,34,5,"1,260","2,542",49.6,2023-2024
4,South Carolina ,SEC ,38,38,0,"1,255","2,550",49.2,2023-2024
5,Texas ,Big 12 ,38,33,5,"1,162","2,369",49.1,2023-2024
6,Drake ,MVC ,35,29,6,"1,031","2,113",48.8,2023-2024
7,Penn St. ,Big Ten ,35,22,13,"1,068","2,198",48.6,2023-2024
8,Michigan St. ,Big Ten ,31,22,9,935,"1,944",48.1,2023-2024
9,Gonzaga ,WCC ,36,32,4,"1,055","2,195",48.1,2023-2024
10,Green Bay ,Horizon ,34,27,7,941,"1,967",47.8,2023-2024
11,South Dakota St. ,Summit League ,33,27,6,881,"1,844",47.8,2023-2024
12,Richmond ,Atlantic 10 ,35,29,6,902,"1,906",47.3,2023-2024
13,Utah ,Pac-12 ,34,23,11,974,"2,059",47.3,2023-2024
14,Iowa St. ,Big 12 ,33,21,12,911,"1,946",46.8,2023-2024
15,Ohio St. ,Big Ten ,32,26,6,925,"1,981",46.7,2023-2024
16,UNLV ,Mountain West ,33,30,3,986,"2,127",46.4,2023-2024
17,Oregon St. ,Pac-12 ,35,27,8,927,"2,001",46.3,2023-2024
18,Cleveland St. ,Horizon ,35,29,6,924,"1,995",46.3,2023-2024
19,North Texas ,AAC ,32,23,9,863,"1,864",46.3,2023-2024
20,Stanford ,Pac-12 ,36,30,6,"1,051","2,272",46.3,2023-2024
21,Fairfield ,MAAC ,33,31,2,892,"1,929",46.2,2023-2024
22,LSU ,SEC ,37,31,6,"1,137","2,459",46.2,2023-2024
23,Illinois ,Big Ten ,34,19,15,959,"2,095",45.8,2023-2024
24,Colorado ,Pac-12 ,34,24,10,965,"2,112",45.7,2023-2024
25,Kansas St. ,Big 12 ,34,26,8,925,"2,027",45.6,2023-2024
26,Notre Dame ,ACC ,35,28,7,"1,035","2,273",45.5,2023-2024
27,Princeton ,Ivy League ,30,25,5,821,"1,806",45.5,2023-2024
28,Wyoming ,Mountain West ,33,18,15,808,"1,778",45.4,2023-2024
29,Columbia ,Ivy League ,30,23,7,838,"1,850",45.3,2023-2024
30,Murray St. ,MVC ,32,20,12,973,"2,150",45.3,2023-2024
31,Virginia Tech ,ACC ,33,25,8,924,"2,044",45.2,2023-2024
32,Louisville ,ACC ,34,24,10,913,"2,027",45,2023-2024
33,Pacific ,WCC ,34,19,15,921,"2,046",45,2023-2024
34,Mississippi St. ,SEC ,35,23,12,986,"2,194",44.9,2023-2024
35,Marquette ,Big East ,32,23,9,844,"1,886",44.8,2023-2024
36,Washington St. ,Pac-12 ,36,21,15,953,"2,132",44.7,2023-2024
37,West Virginia ,Big 12 ,33,25,8,878,"1,965",44.7,2023-2024
38,Illinois St. ,MVC ,34,22,12,873,"1,956",44.6,2023-2024
39,Chattanooga ,SoCon ,33,28,5,749,"1,679",44.6,2023-2024
40,Grand Canyon ,WAC ,32,24,8,830,"1,861",44.6,2023-2024
41,UCLA ,Pac-12 ,34,27,7,979,"2,196",44.6,2023-2024
42,Creighton ,Big East ,32,26,6,858,"1,925",44.6,2023-2024
43,North Dakota St. ,Summit League ,34,22,12,904,"2,029",44.6,2023-2024
44,Ball St. ,MAC ,34,28,6,884,"1,992",44.4,2023-2024
45,Baylor ,Big 12 ,34,26,8,957,"2,158",44.3,2023-2024
46,Belmont ,MVC ,35,26,9,878,"1,981",44.3,2023-2024
47,Duke ,ACC ,34,22,12,879,"1,984",44.3,2023-2024
48,Toledo ,MAC ,34,28,6,904,"2,042",44.3,2023-2024
49,Vermont ,America East ,37,25,12,860,"1,943",44.3,2023-2024
50,Colorado St. ,Mountain West ,31,20,11,794,"1,794",44.3,2023-2024
51,Missouri ,SEC ,30,11,19,772,"1,745",44.2,2023-2024
52,Austin Peay ,ASUN ,33,17,16,754,"1,706",44.2,2023-2024
53,Arizona ,Pac-12 ,34,18,16,893,"2,023",44.1,2023-2024
54,Maryland ,Big Ten ,33,19,14,929,"2,108",44.1,2023-2024
55,Boston U. ,Patriot ,32,20,12,735,"1,668",44.1,2023-2024
56,Oklahoma St. ,Big 12 ,30,14,16,763,"1,733",44,2023-2024
57,Saint Joseph's ,Atlantic 10 ,34,28,6,828,"1,882",44,2023-2024
58,Kansas ,Big 12 ,33,20,13,807,"1,836",44,2023-2024
59,FGCU ,ASUN ,34,29,5,882,"2,007",43.9,2023-2024
60,UNI ,MVC ,32,16,16,871,"1,988",43.8,2023-2024
61,Davidson ,Atlantic 10 ,26,18,8,627,"1,433",43.8,2023-2024
62,Saint Mary's CA,WCC,31,13,18,703,"1,608",43.7,2023-2024
63,Bowling Green ,MAC ,31,16,15,759,"1,742",43.6,2023-2024
64,SMU ,AAC ,30,14,16,779,"1,790",43.5,2023-2024
65,Missouri St. ,MVC ,33,23,10,866,"1,990",43.5,2023-2024
66,Tennessee ,SEC ,33,20,13,915,"2,103",43.5,2023-2024
67,Middle Tenn. ,CUSA ,35,30,5,873,"2,007",43.5,2023-2024
68,TCU ,Big 12 ,33,21,12,814,"1,873",43.5,2023-2024
69,Alabama ,SEC ,34,24,10,892,"2,054",43.4,2023-2024
70,BYU ,Big 12 ,33,16,17,796,"1,834",43.4,2023-2024
71,UT Martin ,OVC ,33,16,17,739,"1,704",43.4,2023-2024
72,Michigan ,Big Ten ,34,20,14,880,"2,034",43.3,2023-2024
73,Miami FL,ACC ,31,19,12,802,"1,857",43.2,2023-2024
74,Montana ,Big Sky ,33,23,10,847,"1,962",43.2,2023-2024
75,UAlbany ,America East ,32,25,7,716,"1,659",43.2,2023-2024
76,UTEP ,CUSA ,31,12,19,767,"1,778",43.1,2023-2024
77,Northern Colo. ,Big Sky ,31,15,16,713,"1,653",43.1,2023-2024
78,Colgate ,Patriot ,34,20,14,791,"1,834",43.1,2023-2024
79,Oral Roberts ,Summit League ,32,21,11,986,"2,288",43.1,2023-2024
80,Clemson ,ACC ,31,12,19,779,"1,808",43.1,2023-2024
81,Stony Brook ,CAA ,33,28,5,868,"2,016",43.1,2023-2024
82,Florida ,SEC ,32,16,16,885,"2,057",43,2023-2024
83,Harvard ,Ivy League ,28,16,12,720,"1,674",43,2023-2024
84,Milwaukee ,Horizon ,32,16,16,767,"1,786",42.9,2023-2024
85,Santa Clara ,WCC ,34,25,9,856,"1,995",42.9,2023-2024
86,UIC ,MVC ,34,18,16,842,"1,964",42.9,2023-2024
87,Saint Louis ,Atlantic 10 ,40,22,18,"1,051","2,452",42.9,2023-2024
88,South Dakota ,Summit League ,36,23,13,878,"2,057",42.7,2023-2024
89,Portland ,WCC ,34,21,13,843,"1,978",42.6,2023-2024
90,Central Ark. ,ASUN ,33,21,12,801,"1,880",42.6,2023-2024
91,St. John's NY,Big East ,33,18,15,738,"1,733",42.6,2023-2024
92,Marshall ,Sun Belt ,33,26,7,"1,000","2,351",42.5,2023-2024
93,Kent St. ,MAC ,32,21,11,849,"1,997",42.5,2023-2024
94,NC State ,ACC ,38,31,7,"1,010","2,378",42.5,2023-2024
