Rank FGPCTDef,Team,Conference,Games,Wins,Losses,Opponent FGM,Opponent FGA,Opponent FG %,Season
1,South Carolina ,SEC ,38,38,0,787,"2,433",32.3,2023-2024
2,Jackson St. ,SWAC ,33,26,7,657,"1,924",34.1,2023-2024
3,Howard ,MEAC ,31,15,16,597,"1,721",34.7,2023-2024
4,N.C. A&T ,CAA ,34,22,12,683,"1,959",34.9,2023-2024
5,Stony Brook ,CAA ,33,28,5,721,"2,058",35,2023-2024
6,Middle Tenn. ,CUSA ,35,30,5,709,"2,007",35.3,2023-2024
7,Southeastern La. ,Southland ,31,19,12,608,"1,718",35.4,2023-2024
8,Oregon St. ,Pac-12 ,35,27,8,803,"2,267",35.4,2023-2024
9,UConn ,Big East ,39,33,6,820,"2,301",35.6,2023-2024
10,A&M-Corpus Christi ,Southland ,32,23,9,671,"1,881",35.7,2023-2024
11,Stanford ,Pac-12 ,36,30,6,815,"2,282",35.7,2023-2024
12,James Madison ,Sun Belt ,35,23,12,831,"2,303",36.1,2023-2024
13,VCU ,Atlantic 10 ,32,26,6,628,"1,740",36.1,2023-2024
14,Norfolk St. ,MEAC ,33,27,6,596,"1,650",36.1,2023-2024
15,Fairfield ,MAAC ,33,31,2,634,"1,755",36.1,2023-2024
16,Hawaii ,Big West ,31,20,11,633,"1,752",36.1,2023-2024
17,Kansas St. ,Big 12 ,34,26,8,716,"1,977",36.2,2023-2024
18,NC State ,ACC ,38,31,7,891,"2,456",36.3,2023-2024
19,UTSA ,AAC ,33,18,15,718,"1,979",36.3,2023-2024
20,Holy Cross ,Patriot ,34,21,13,700,"1,924",36.4,2023-2024
21,Central Ark. ,ASUN ,33,21,12,694,"1,891",36.7,2023-2024
22,Richmond ,Atlantic 10 ,35,29,6,785,"2,137",36.7,2023-2024
23,UCLA ,Pac-12 ,34,27,7,712,"1,934",36.8,2023-2024
24,LSU ,SEC ,37,31,6,854,"2,316",36.9,2023-2024
25,Boise St. ,Mountain West ,35,21,14,768,"2,081",36.9,2023-2024
26,TCU ,Big 12 ,33,21,12,738,"1,998",36.9,2023-2024
27,Duke ,ACC ,34,22,12,700,"1,894",37,2023-2024
28,Eastern Wash. ,Big Sky ,35,29,6,715,"1,931",37,2023-2024
29,Monmouth ,CAA ,32,22,10,721,"1,946",37.1,2023-2024
30,Colorado St. ,Mountain West ,31,20,11,702,"1,894",37.1,2023-2024
31,Campbell ,CAA ,31,17,14,643,"1,733",37.1,2023-2024
32,UC Davis ,Big West ,34,20,14,728,"1,961",37.1,2023-2024
33,Texas A&M ,SEC ,32,19,13,668,"1,799",37.1,2023-2024
34,N.C. Central ,MEAC ,31,16,15,742,"1,993",37.2,2023-2024
35,Alcorn ,SWAC ,32,12,20,666,"1,787",37.3,2023-2024
36,South Dakota St. ,Summit League ,33,27,6,733,"1,966",37.3,2023-2024
37,Northwestern St. ,Southland ,30,11,19,648,"1,735",37.3,2023-2024
38,Grambling ,SWAC ,33,23,10,743,"1,988",37.4,2023-2024
39,Miami FL,ACC ,31,19,12,678,"1,814",37.4,2023-2024
40,UAlbany ,America East ,32,25,7,618,"1,652",37.4,2023-2024
41,Georgetown ,Big East ,35,23,12,700,"1,871",37.4,2023-2024
42,Stetson ,ASUN ,32,17,15,640,"1,709",37.4,2023-2024
43,Bethune-Cookman ,SWAC ,31,15,16,670,"1,786",37.5,2023-2024
44,Virginia Tech ,ACC ,33,25,8,746,"1,988",37.5,2023-2024
45,ETSU ,SoCon ,30,18,12,611,"1,627",37.6,2023-2024
46,Chattanooga ,SoCon ,33,28,5,644,"1,712",37.6,2023-2024
47,UNC Greensboro ,SoCon ,33,21,12,671,"1,783",37.6,2023-2024
48,Wofford ,SoCon ,30,17,13,684,"1,813",37.7,2023-2024
49,Davidson ,Atlantic 10 ,26,18,8,516,"1,367",37.7,2023-2024
50,Boston U. ,Patriot ,32,20,12,731,"1,927",37.9,2023-2024
51,UIW ,Southland ,30,19,11,621,"1,637",37.9,2023-2024
52,Tulsa ,AAC ,35,25,10,859,"2,263",38,2023-2024
53,Marist ,MAAC ,31,6,25,744,"1,960",38,2023-2024
54,Auburn ,SEC ,32,20,12,652,"1,717",38,2023-2024
55,Ole Miss ,SEC ,33,24,9,709,"1,867",38,2023-2024
56,California Baptist ,WAC ,32,28,4,804,"2,117",38,2023-2024
57,North Carolina ,ACC ,33,20,13,730,"1,922",38,2023-2024
58,Ark.-Pine Bluff ,SWAC ,33,17,16,766,"2,013",38.1,2023-2024
59,North Texas ,AAC ,32,23,9,770,"2,023",38.1,2023-2024
60,Southern Miss. ,Sun Belt ,34,20,14,777,"2,040",38.1,2023-2024
61,George Mason ,Atlantic 10 ,31,23,8,660,"1,732",38.1,2023-2024
62,UNLV ,Mountain West ,33,30,3,751,"1,969",38.1,2023-2024
63,Saint Joseph's ,Atlantic 10 ,34,28,6,727,"1,904",38.2,2023-2024
64,William & Mary ,CAA ,29,15,14,648,"1,697",38.2,2023-2024
65,Grand Canyon ,WAC ,32,24,8,637,"1,668",38.2,2023-2024
66,Mount St. Mary's ,MAAC ,31,14,17,661,"1,730",38.2,2023-2024
67,Old Dominion ,Sun Belt ,32,22,10,652,"1,706",38.2,2023-2024
68,Vermont ,America East ,37,25,12,741,"1,938",38.2,2023-2024
69,Providence ,Big East ,34,13,21,781,"2,041",38.3,2023-2024
70,Notre Dame ,ACC ,35,28,7,813,"2,124",38.3,2023-2024
71,Ga. Southern ,Sun Belt ,33,15,18,825,"2,155",38.3,2023-2024
72,New Mexico ,Mountain West ,32,21,11,749,"1,956",38.3,2023-2024
73,ULM ,Sun Belt ,35,21,14,844,"2,204",38.3,2023-2024
74,South Fla. ,AAC ,33,19,14,730,"1,904",38.3,2023-2024
75,Hofstra ,CAA ,32,11,21,671,"1,750",38.3,2023-2024
76,Idaho St. ,Big Sky ,30,11,19,614,"1,600",38.4,2023-2024
77,Texas ,Big 12 ,38,33,5,792,"2,063",38.4,2023-2024
78,Detroit Mercy ,Horizon ,33,17,16,740,"1,927",38.4,2023-2024
79,Merrimack ,NEC ,31,12,19,674,"1,755",38.4,2023-2024
80,Manhattan ,MAAC ,30,18,12,637,"1,658",38.4,2023-2024
81,UMES ,MEAC ,30,15,15,623,"1,620",38.5,2023-2024
82,Idaho ,Big Sky ,31,15,16,657,"1,707",38.5,2023-2024
83,Liberty ,CUSA ,34,18,16,796,"2,068",38.5,2023-2024
84,UNC Asheville ,Big South ,31,11,20,680,"1,766",38.5,2023-2024
