Rank FPG,Team,Conference,Games,Wins,Losses,Team Fouls Total,PFPG,DQ,Season
1,Dartmouth ,Ivy League ,26,7,19,280,10.8,1,2023-2024
2,Oregon ,Pac-12 ,32,11,21,377,11.8,1,2023-2024
3,Colorado St. ,Mountain West ,31,20,11,382,12.3,4,2023-2024
4,NC State ,ACC ,38,31,7,479,12.6,1,2023-2024
5,Butler ,Big East ,32,15,17,405,12.7,4,2023-2024
6,Washington St. ,Pac-12 ,36,21,15,459,12.8,7,2023-2024
7,Saint Joseph's ,Atlantic 10 ,34,28,6,437,12.9,2,2023-2024
8,Green Bay ,Horizon ,34,27,7,438,12.9,5,2023-2024
9,Manhattan ,MAAC ,30,18,12,387,12.9,8,2023-2024
10,Vermont ,America East ,37,25,12,481,13,4,2023-2024
10,St. John's NY,Big East ,33,18,15,429,13,8,2023-2024
10,New Mexico ,Mountain West ,32,21,11,416,13,3,2023-2024
13,UAlbany ,America East ,32,25,7,420,13.1,3,2023-2024
14,Idaho ,Big Sky ,31,15,16,411,13.3,5,2023-2024
15,Presbyterian ,Big South ,36,21,15,478,13.3,7,2023-2024
16,Lehigh ,Patriot ,30,17,13,400,13.3,2,2023-2024
17,Oregon St. ,Pac-12 ,35,27,8,470,13.4,2,2023-2024
18,UT Martin ,OVC ,33,16,17,445,13.5,8,2023-2024
19,Mississippi St. ,SEC ,35,23,12,473,13.5,8,2023-2024
20,Marist ,MAAC ,31,6,25,423,13.6,6,2023-2024
21,Washington ,Pac-12 ,31,16,15,427,13.8,9,2023-2024
22,Eastern Wash. ,Big Sky ,35,29,6,483,13.8,5,2023-2024
23,Campbell ,CAA ,31,17,14,428,13.8,2,2023-2024
24,Drexel ,CAA ,34,19,15,470,13.8,3,2023-2024
25,Richmond ,Atlantic 10 ,35,29,6,484,13.8,4,2023-2024
26,UNLV ,Mountain West ,33,30,3,457,13.8,9,2023-2024
27,Lafayette ,Patriot ,30,10,20,416,13.9,6,2023-2024
28,Drake ,MVC ,35,29,6,488,13.9,6,2023-2024
29,Montana ,Big Sky ,33,23,10,461,14,5,2023-2024
30,Iowa St. ,Big 12 ,33,21,12,462,14,10,2023-2024
31,South Dakota St. ,Summit League ,33,27,6,465,14.1,5,2023-2024
32,Boston U. ,Patriot ,32,20,12,452,14.1,10,2023-2024
33,Bucknell ,Patriot ,31,13,18,438,14.1,6,2023-2024
34,ETSU ,SoCon ,30,18,12,424,14.1,4,2023-2024
35,Colgate ,Patriot ,34,20,14,482,14.2,7,2023-2024
36,Minnesota ,Big Ten ,36,20,16,511,14.2,11,2023-2024
37,Iona ,MAAC ,30,11,19,426,14.2,4,2023-2024
38,Gonzaga ,WCC ,36,32,4,512,14.2,8,2023-2024
39,South Carolina ,SEC ,38,38,0,541,14.2,7,2023-2024
40,Delaware St. ,MEAC ,28,8,20,399,14.3,6,2023-2024
41,Syracuse ,ACC ,32,24,8,458,14.3,8,2023-2024
42,Arkansas ,SEC ,33,18,15,474,14.4,5,2023-2024
43,Villanova ,Big East ,35,22,13,504,14.4,6,2023-2024
43,Coppin St. ,MEAC ,30,12,18,432,14.4,8,2023-2024
45,Iowa ,Big Ten ,39,34,5,562,14.4,9,2023-2024
46,Santa Clara ,WCC ,34,25,9,490,14.4,6,2023-2024
47,UConn ,Big East ,39,33,6,563,14.4,5,2023-2024
48,Florida St. ,ACC ,34,23,11,491,14.4,6,2023-2024
49,Maine ,America East ,34,24,10,492,14.5,9,2023-2024
