Rank FTAtPG,Team,Conferences,Games,Wins,Losses,Free Throws Made,Free Throw Attempts,Avg,Season
1,LSU ,SEC ,37,31,6,744,998,26.97,2023-2024
2,Jackson St. ,SWAC ,33,26,7,579,817,24.76,2023-2024
3,Omaha ,Summit League ,31,8,23,543,741,23.9,2023-2024
4,Sam Houston ,CUSA ,29,7,22,483,693,23.9,2023-2024
5,Jacksonville ,ASUN ,31,11,20,510,731,23.58,2023-2024
6,North Texas ,AAC ,32,23,9,508,751,23.47,2023-2024
7,Bethune-Cookman ,SWAC ,31,15,16,475,723,23.32,2023-2024
8,Coastal Carolina ,Sun Belt ,33,12,21,492,757,22.94,2023-2024
9,Cleveland St. ,Horizon ,35,29,6,563,796,22.74,2023-2024
10,Ark.-Pine Bluff ,SWAC ,33,17,16,475,746,22.61,2023-2024
11,UIC ,MVC ,34,18,16,519,762,22.41,2023-2024
12,Oakland ,Horizon ,29,12,17,433,648,22.34,2023-2024
13,Ole Miss ,SEC ,33,24,9,510,734,22.24,2023-2024
14,App State ,Sun Belt ,32,17,15,483,705,22.03,2023-2024
15,Cincinnati ,Big 12 ,32,14,18,510,704,22,2023-2024
16,McNeese ,Southland ,31,6,25,488,676,21.81,2023-2024
17,Western Ill. ,OVC ,30,18,12,496,654,21.8,2023-2024
18,A&M-Corpus Christi ,Southland ,32,23,9,477,690,21.56,2023-2024
19,Grambling ,SWAC ,33,23,10,491,708,21.45,2023-2024
20,Texas ,Big 12 ,38,33,5,571,804,21.16,2023-2024
21,Marshall ,Sun Belt ,33,26,7,464,692,20.97,2023-2024
22,IU Indy ,Horizon ,30,7,23,427,629,20.97,2023-2024
23,Evansville ,MVC ,32,4,28,470,660,20.63,2023-2024
24,Prairie View ,SWAC ,29,11,18,421,598,20.62,2023-2024
25,Maryland ,Big Ten ,33,19,14,522,679,20.58,2023-2024
26,Charlotte ,AAC ,31,16,15,472,636,20.52,2023-2024
27,Ga. Southern ,Sun Belt ,33,15,18,447,675,20.45,2023-2024
28,California Baptist ,WAC ,32,28,4,486,654,20.44,2023-2024
29,Illinois St. ,MVC ,34,22,12,536,694,20.41,2023-2024
30,Eastern Ky. ,ASUN ,34,22,12,485,690,20.29,2023-2024
31,Oral Roberts ,Summit League ,32,21,11,472,648,20.25,2023-2024
32,Howard ,MEAC ,31,15,16,428,626,20.19,2023-2024
33,Murray St. ,MVC ,32,20,12,507,643,20.09,2023-2024
34,N.C. A&T ,CAA ,34,22,12,501,678,19.94,2023-2024
35,North Dakota St. ,Summit League ,34,22,12,511,676,19.88,2023-2024
36,New Orleans ,Southland ,30,11,19,439,595,19.83,2023-2024
37,FIU ,CUSA ,33,21,12,464,654,19.82,2023-2024
38,Iowa ,Big Ten ,39,34,5,602,772,19.79,2023-2024
39,Louisville ,ACC ,34,24,10,505,673,19.79,2023-2024
40,East Carolina ,AAC ,33,19,14,464,651,19.73,2023-2024
41,SFA ,WAC ,34,22,12,499,670,19.71,2023-2024
42,SMU ,AAC ,30,14,16,411,591,19.7,2023-2024
43,Ohio St. ,Big Ten ,32,26,6,450,629,19.66,2023-2024
44,West Virginia ,Big 12 ,33,25,8,445,646,19.58,2023-2024
45,Rutgers ,Big Ten ,32,8,24,446,625,19.53,2023-2024
46,Hampton ,CAA ,29,3,26,367,566,19.52,2023-2024
47,Southern Ill. ,MVC ,31,11,20,420,603,19.45,2023-2024
