Rank FTPct,Team,Conference,Games,Wins,Losses,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Season
1,Creighton ,Big East ,32,26,6,348,421,82.7,2023-2024
2,Santa Clara ,WCC ,34,25,9,382,469,81.4,2023-2024
3,Saint Joseph's ,Atlantic 10 ,34,28,6,363,449,80.8,2023-2024
4,Richmond ,Atlantic 10 ,35,29,6,434,539,80.5,2023-2024
5,Gonzaga ,WCC ,36,32,4,433,542,79.9,2023-2024
6,Illinois ,Big Ten ,34,19,15,434,546,79.5,2023-2024
7,Murray St. ,MVC ,32,20,12,507,643,78.8,2023-2024
8,Purdue ,Big Ten ,34,15,19,417,529,78.8,2023-2024
9,Milwaukee ,Horizon ,32,16,16,364,462,78.8,2023-2024
10,Green Bay ,Horizon ,34,27,7,403,513,78.6,2023-2024
11,Wright St. ,Horizon ,33,18,15,420,535,78.5,2023-2024
12,Colorado St. ,Mountain West ,31,20,11,281,358,78.5,2023-2024
13,Northern Ariz. ,Big Sky ,35,25,10,444,568,78.2,2023-2024
14,South Dakota ,Summit League ,36,23,13,510,654,78,2023-2024
15,Iowa ,Big Ten ,39,34,5,602,772,78,2023-2024
16,SIUE ,OVC ,31,5,26,444,570,77.9,2023-2024
17,Northwestern ,Big Ten ,30,9,21,329,424,77.6,2023-2024
18,Saint Louis ,Atlantic 10 ,40,22,18,554,714,77.6,2023-2024
19,Stanford ,Pac-12 ,36,30,6,423,546,77.5,2023-2024
20,UT Martin ,OVC ,33,16,17,412,532,77.4,2023-2024
21,Idaho ,Big Sky ,31,15,16,308,398,77.4,2023-2024
22,Lehigh ,Patriot ,30,17,13,396,512,77.3,2023-2024
23,Manhattan ,MAAC ,30,18,12,300,388,77.3,2023-2024
24,Virginia Tech ,ACC ,33,25,8,336,435,77.2,2023-2024
25,Virginia ,ACC ,32,16,16,431,558,77.2,2023-2024
26,Illinois St. ,MVC ,34,22,12,536,694,77.2,2023-2024
27,Chattanooga ,SoCon ,33,28,5,412,534,77.2,2023-2024
28,Montana ,Big Sky ,33,23,10,341,442,77.1,2023-2024
29,Drake ,MVC ,35,29,6,492,638,77.1,2023-2024
30,Florida St. ,ACC ,34,23,11,487,632,77.1,2023-2024
31,Wofford ,SoCon ,30,17,13,320,416,76.9,2023-2024
32,Tennessee Tech ,OVC ,31,16,15,413,537,76.9,2023-2024
33,Maryland ,Big Ten ,33,19,14,522,679,76.9,2023-2024
34,UNLV ,Mountain West ,33,30,3,379,493,76.9,2023-2024
35,Missouri ,SEC ,30,11,19,309,402,76.9,2023-2024
36,Notre Dame ,ACC ,35,28,7,485,631,76.9,2023-2024
37,Middle Tenn. ,CUSA ,35,30,5,455,592,76.9,2023-2024
38,Tulane ,AAC ,32,12,20,327,426,76.8,2023-2024
39,Washington St. ,Pac-12 ,36,21,15,356,464,76.7,2023-2024
40,Duke ,ACC ,34,22,12,365,476,76.7,2023-2024
41,Youngstown St. ,Horizon ,32,14,18,309,404,76.5,2023-2024
42,UAB ,AAC ,32,18,14,413,540,76.5,2023-2024
43,Marquette ,Big East ,32,23,9,329,431,76.3,2023-2024
44,Texas Tech ,Big 12 ,33,17,16,445,583,76.3,2023-2024
45,Stony Brook ,CAA ,33,28,5,435,570,76.3,2023-2024
46,Pacific ,WCC ,34,19,15,421,552,76.3,2023-2024
47,Cal St. Fullerton ,Big West ,31,10,21,303,398,76.1,2023-2024
48,Rice ,AAC ,34,19,15,431,567,76,2023-2024
49,Penn ,Ivy League ,28,15,13,302,398,75.9,2023-2024
50,Western Ill. ,OVC ,30,18,12,496,654,75.8,2023-2024
51,Wyoming ,Mountain West ,33,18,15,295,389,75.8,2023-2024
52,Central Conn. St. ,NEC ,30,9,21,291,384,75.8,2023-2024
53,San Diego St. ,Mountain West ,35,22,13,441,583,75.6,2023-2024
54,North Dakota St. ,Summit League ,34,22,12,511,676,75.6,2023-2024
55,Montana St. ,Big Sky ,33,17,16,419,555,75.5,2023-2024
56,Arkansas St. ,Sun Belt ,30,13,17,403,534,75.5,2023-2024
57,Air Force ,Mountain West ,32,15,17,320,425,75.3,2023-2024
58,Mercer ,SoCon ,32,15,17,335,445,75.3,2023-2024
59,California ,Pac-12 ,34,19,15,350,465,75.3,2023-2024
60,ULM ,Sun Belt ,35,21,14,496,659,75.3,2023-2024
61,South Fla. ,AAC ,33,19,14,368,489,75.3,2023-2024
62,Seton Hall ,Big East ,32,17,15,351,467,75.2,2023-2024
63,Villanova ,Big East ,35,22,13,305,406,75.1,2023-2024
64,Indiana St. ,MVC ,32,11,21,452,602,75.1,2023-2024
65,Eastern Wash. ,Big Sky ,35,29,6,340,453,75.1,2023-2024
66,Southern Miss. ,Sun Belt ,34,20,14,415,553,75,2023-2024
