Rank FTMPG,Team,Conference,Games,Wins,Losses,Free Throws Made,Free Throws Attempted,Avg,Season
1,LSU ,SEC ,37,31,6,744,998,20.11,2023-2024
2,Jackson St. ,SWAC ,33,26,7,579,817,17.55,2023-2024
3,Omaha ,Summit League ,31,8,23,543,741,17.52,2023-2024
4,Sam Houston ,CUSA ,29,7,22,483,693,16.66,2023-2024
5,Western Ill. ,OVC ,30,18,12,496,654,16.53,2023-2024
6,Jacksonville ,ASUN ,31,11,20,510,731,16.45,2023-2024
7,Cleveland St. ,Horizon ,35,29,6,563,796,16.09,2023-2024
8,Cincinnati ,Big 12 ,32,14,18,510,704,15.94,2023-2024
9,North Texas ,AAC ,32,23,9,508,751,15.88,2023-2024
10,Murray St. ,MVC ,32,20,12,507,643,15.84,2023-2024
11,Maryland ,Big Ten ,33,19,14,522,679,15.82,2023-2024
12,Illinois St. ,MVC ,34,22,12,536,694,15.76,2023-2024
13,McNeese ,Southland ,31,6,25,488,676,15.74,2023-2024
14,Ole Miss ,SEC ,33,24,9,510,734,15.45,2023-2024
15,Iowa ,Big Ten ,39,34,5,602,772,15.44,2023-2024
16,Bethune-Cookman ,SWAC ,31,15,16,475,723,15.32,2023-2024
17,UIC ,MVC ,34,18,16,519,762,15.26,2023-2024
18,Charlotte ,AAC ,31,16,15,472,636,15.23,2023-2024
19,California Baptist ,WAC ,32,28,4,486,654,15.19,2023-2024
20,App State ,Sun Belt ,32,17,15,483,705,15.09,2023-2024
21,North Dakota St. ,Summit League ,34,22,12,511,676,15.03,2023-2024
22,Texas ,Big 12 ,38,33,5,571,804,15.03,2023-2024
23,Oakland ,Horizon ,29,12,17,433,648,14.93,2023-2024
24,Coastal Carolina ,Sun Belt ,33,12,21,492,757,14.91,2023-2024
25,A&M-Corpus Christi ,Southland ,32,23,9,477,690,14.91,2023-2024
26,Grambling ,SWAC ,33,23,10,491,708,14.88,2023-2024
27,Louisville ,ACC ,34,24,10,505,673,14.85,2023-2024
28,Oral Roberts ,Summit League ,32,21,11,472,648,14.75,2023-2024
29,N.C. A&T ,CAA ,34,22,12,501,678,14.74,2023-2024
30,Evansville ,MVC ,32,4,28,470,660,14.69,2023-2024
31,SFA ,WAC ,34,22,12,499,670,14.68,2023-2024
32,New Orleans ,Southland ,30,11,19,439,595,14.63,2023-2024
33,Prairie View ,SWAC ,29,11,18,421,598,14.52,2023-2024
34,Ark.-Pine Bluff ,SWAC ,33,17,16,475,746,14.39,2023-2024
35,UCF ,Big 12 ,29,12,17,417,558,14.38,2023-2024
36,Florida St. ,ACC ,34,23,11,487,632,14.32,2023-2024
37,SIUE ,OVC ,31,5,26,444,570,14.32,2023-2024
38,Eastern Ky. ,ASUN ,34,22,12,485,690,14.26,2023-2024
39,IU Indy ,Horizon ,30,7,23,427,629,14.23,2023-2024
40,ULM ,Sun Belt ,35,21,14,496,659,14.17,2023-2024
41,South Dakota ,Summit League ,36,23,13,510,654,14.17,2023-2024
42,NC State ,ACC ,38,31,7,537,723,14.13,2023-2024
43,Indiana St. ,MVC ,32,11,21,452,602,14.13,2023-2024
44,Tennessee ,SEC ,33,20,13,465,624,14.09,2023-2024
