RankRM,Team,Conference,Games,Wins,Losses,REB,RPG,OPP REB,OPP RPG,Margin,Season
1,UCLA ,Pac-12 ,34,27,7,"1,482",43.6,"1,008",29.6,13.9,2023-2024
2,LSU ,SEC ,37,31,6,"1,711",46.2,"1,241",33.5,12.7,2023-2024
3,South Carolina ,SEC ,38,38,0,"1,761",46.3,"1,284",33.8,12.6,2023-2024
4,Stanford ,Pac-12 ,36,30,6,"1,594",44.3,"1,155",32.1,12.2,2023-2024
5,James Madison ,Sun Belt ,35,23,12,"1,662",47.5,"1,265",36.1,11.3,2023-2024
6,Texas ,Big 12 ,38,33,5,"1,524",40.1,"1,127",29.7,10.4,2023-2024
7,VCU ,Atlantic 10 ,32,26,6,"1,266",39.6,964,30.1,9.4,2023-2024
8,UNLV ,Mountain West ,33,30,3,"1,354",41,"1,056",32,9,2023-2024
9,Gonzaga ,WCC ,36,32,4,"1,376",38.2,"1,064",29.6,8.7,2023-2024
10,Iowa St. ,Big 12 ,33,21,12,"1,347",40.8,"1,064",32.2,8.6,2023-2024
11,Jackson St. ,SWAC ,33,26,7,"1,426",43.2,"1,144",34.7,8.5,2023-2024
12,Ole Miss ,SEC ,33,24,9,"1,369",41.5,"1,090",33,8.5,2023-2024
13,UTSA ,AAC ,33,18,15,"1,467",44.5,"1,198",36.3,8.2,2023-2024
14,Columbia ,Ivy League ,30,23,7,"1,195",39.8,956,31.9,8,2023-2024
15,Troy ,Sun Belt ,34,22,12,"1,628",47.9,"1,362",40.1,7.8,2023-2024
16,Monmouth ,CAA ,32,22,10,"1,313",41,"1,064",33.3,7.8,2023-2024
17,Nebraska ,Big Ten ,35,23,12,"1,431",40.9,"1,159",33.1,7.8,2023-2024
18,Drake ,MVC ,35,29,6,"1,355",38.7,"1,087",31.1,7.7,2023-2024
19,South Dakota St. ,Summit League ,33,27,6,"1,272",38.5,"1,025",31.1,7.5,2023-2024
20,Virginia Tech ,ACC ,33,25,8,"1,337",40.5,"1,091",33.1,7.5,2023-2024
21,Texas A&M ,SEC ,32,19,13,"1,348",42.1,"1,110",34.7,7.4,2023-2024
22,Baylor ,Big 12 ,34,26,8,"1,369",40.3,"1,121",33,7.3,2023-2024
23,Dayton ,Atlantic 10 ,31,12,19,"1,225",39.5,"1,002",32.3,7.2,2023-2024
24,Oregon St. ,Pac-12 ,35,27,8,"1,400",40,"1,152",32.9,7.1,2023-2024
25,Furman ,SoCon ,31,15,16,"1,268",40.9,"1,053",34,6.9,2023-2024
26,Princeton ,Ivy League ,30,25,5,"1,087",36.2,887,29.6,6.7,2023-2024
27,Duke ,ACC ,34,22,12,"1,302",38.3,"1,076",31.6,6.6,2023-2024
27,Utah ,Pac-12 ,34,23,11,"1,273",37.4,"1,047",30.8,6.6,2023-2024
29,Rhode Island ,Atlantic 10 ,35,21,14,"1,360",38.9,"1,131",32.3,6.5,2023-2024
30,Mississippi St. ,SEC ,35,23,12,"1,421",40.6,"1,198",34.2,6.4,2023-2024
31,Stony Brook ,CAA ,33,28,5,"1,391",42.2,"1,181",35.8,6.4,2023-2024
32,Tennessee ,SEC ,33,20,13,"1,428",43.3,"1,219",36.9,6.3,2023-2024
33,Lamar University ,Southland ,31,24,7,"1,183",38.2,987,31.8,6.3,2023-2024
