Rank RbDfPG,Team,Conference,Games,Defensive Rebounds,Defensive Rebounds Per Game,Season
1,James Madison ,Sun Belt ,35,"1,132",32.3,2023-2024
2,South Carolina ,SEC ,38,"1,208",31.8,2023-2024
3,California Baptist ,WAC ,32,"1,013",31.7,2023-2024
4,NC State ,ACC ,38,"1,198",31.5,2023-2024
5,Oregon St. ,Pac-12 ,35,"1,086",31,2023-2024
6,Iowa St. ,Big 12 ,33,"1,021",30.9,2023-2024
7,Stanford ,Pac-12 ,36,"1,110",30.8,2023-2024
8,Troy ,Sun Belt ,34,"1,047",30.8,2023-2024
9,Iowa ,Big Ten ,39,"1,188",30.5,2023-2024
10,Stony Brook ,CAA ,33,"1,002",30.4,2023-2024
11,Tennessee ,SEC ,33,995,30.2,2023-2024
12,UNLV ,Mountain West ,33,980,29.7,2023-2024
13,LSU ,SEC ,37,"1,098",29.7,2023-2024
14,New Mexico ,Mountain West ,32,947,29.6,2023-2024
15,Western Ill. ,OVC ,30,884,29.5,2023-2024
16,Oklahoma ,Big 12 ,33,971,29.4,2023-2024
17,Florida St. ,ACC ,34,999,29.4,2023-2024
18,Monmouth ,CAA ,32,940,29.4,2023-2024
19,NIU ,MAC ,31,910,29.4,2023-2024
20,Illinois St. ,MVC ,34,992,29.2,2023-2024
21,Colorado St. ,Mountain West ,31,898,29,2023-2024
22,Virginia Tech ,ACC ,33,950,28.8,2023-2024
23,Kansas St. ,Big 12 ,34,978,28.8,2023-2024
24,Tulsa ,AAC ,35,"1,004",28.7,2023-2024
25,Drake ,MVC ,35,"1,003",28.7,2023-2024
26,Boise St. ,Mountain West ,35,"1,002",28.6,2023-2024
27,UTSA ,AAC ,33,944,28.6,2023-2024
28,UCLA ,Pac-12 ,34,972,28.6,2023-2024
29,South Dakota St. ,Summit League ,33,943,28.6,2023-2024
30,UConn ,Big East ,39,"1,109",28.4,2023-2024
31,BYU ,Big 12 ,33,938,28.4,2023-2024
32,Lipscomb ,ASUN ,30,851,28.4,2023-2024
33,Ga. Southern ,Sun Belt ,33,935,28.3,2023-2024
34,North Texas ,AAC ,32,904,28.3,2023-2024
35,Central Mich. ,MAC ,28,787,28.1,2023-2024
36,Arkansas ,SEC ,33,922,27.9,2023-2024
37,Kent St. ,MAC ,32,893,27.9,2023-2024
38,Oregon ,Pac-12 ,32,892,27.9,2023-2024
39,Holy Cross ,Patriot ,34,947,27.9,2023-2024
40,Nebraska ,Big Ten ,35,974,27.8,2023-2024
41,N.C. A&T ,CAA ,34,946,27.8,2023-2024
42,Central Ark. ,ASUN ,33,918,27.8,2023-2024
43,TCU ,Big 12 ,33,913,27.7,2023-2024
44,ULM ,Sun Belt ,35,968,27.7,2023-2024
45,N.C. Central ,MEAC ,31,857,27.6,2023-2024
46,A&M-Corpus Christi ,Southland ,32,884,27.6,2023-2024
47,Texas A&M ,SEC ,32,883,27.6,2023-2024
48,Mississippi St. ,SEC ,35,965,27.6,2023-2024
49,Duquesne ,Atlantic 10 ,34,937,27.6,2023-2024
50,Marist ,MAAC ,31,854,27.5,2023-2024
51,UC Davis ,Big West ,34,936,27.5,2023-2024
52,Southeastern La. ,Southland ,31,853,27.5,2023-2024
53,Murray St. ,MVC ,32,879,27.5,2023-2024
54,Middle Tenn. ,CUSA ,35,961,27.5,2023-2024
55,South Dakota ,Summit League ,36,988,27.4,2023-2024
56,Baylor ,Big 12 ,34,933,27.4,2023-2024
56,SFA ,WAC ,34,933,27.4,2023-2024
58,Northern Ariz. ,Big Sky ,35,959,27.4,2023-2024
59,Indiana ,Big Ten ,32,876,27.4,2023-2024
60,Lehigh ,Patriot ,30,821,27.4,2023-2024
61,Northwestern St. ,Southland ,30,820,27.3,2023-2024
62,Delaware ,CAA ,31,846,27.3,2023-2024
63,Detroit Mercy ,Horizon ,33,900,27.3,2023-2024
63,Jackson St. ,SWAC ,33,900,27.3,2023-2024
65,Notre Dame ,ACC ,35,953,27.2,2023-2024
66,Wofford ,SoCon ,30,815,27.2,2023-2024
67,Virginia ,ACC ,32,869,27.2,2023-2024
68,Montana ,Big Sky ,33,893,27.1,2023-2024
69,Ark.-Pine Bluff ,SWAC ,33,892,27,2023-2024
70,Liberty ,CUSA ,34,918,27,2023-2024
71,Towson ,CAA ,31,836,27,2023-2024
71,UC Santa Barbara ,Big West ,31,836,27,2023-2024
73,Campbell ,CAA ,31,834,26.9,2023-2024
74,North Dakota ,Summit League ,30,806,26.9,2023-2024
75,Southern Miss. ,Sun Belt ,34,913,26.9,2023-2024
76,Missouri ,SEC ,30,805,26.8,2023-2024
77,Eastern Ill. ,OVC ,33,884,26.8,2023-2024
78,Richmond ,Atlantic 10 ,35,937,26.8,2023-2024
79,North Carolina ,ACC ,33,883,26.8,2023-2024
80,Utah ,Pac-12 ,34,909,26.7,2023-2024
81,San Diego St. ,Mountain West ,35,935,26.7,2023-2024
82,South Fla. ,AAC ,33,881,26.7,2023-2024
83,Furman ,SoCon ,31,826,26.6,2023-2024
84,Cleveland St. ,Horizon ,35,927,26.5,2023-2024
85,Toledo ,MAC ,34,899,26.4,2023-2024
86,Charleston So. ,Big South ,30,793,26.4,2023-2024
87,Georgia Tech ,ACC ,33,872,26.4,2023-2024
88,Col. of Charleston ,CAA ,32,845,26.4,2023-2024
89,Belmont ,MVC ,35,924,26.4,2023-2024
90,Grambling ,SWAC ,33,871,26.4,2023-2024
91,Buffalo ,MAC ,33,869,26.3,2023-2024
91,Morehead St. ,OVC ,30,790,26.3,2023-2024
93,Southern California ,Pac-12 ,35,921,26.3,2023-2024
94,VCU ,Atlantic 10 ,32,842,26.3,2023-2024
95,Marquette ,Big East ,32,841,26.3,2023-2024
96,Providence ,Big East ,34,893,26.3,2023-2024
97,Long Beach St. ,Big West ,33,866,26.2,2023-2024
98,Creighton ,Big East ,32,839,26.2,2023-2024
99,Maryland ,Big Ten ,33,864,26.2,2023-2024
99,UT Arlington ,WAC ,33,864,26.2,2023-2024
101,Oklahoma St. ,Big 12 ,30,785,26.2,2023-2024
101,SMU ,AAC ,30,785,26.2,2023-2024
101,Washington St. ,Pac-12 ,36,942,26.2,2023-2024
104,Coastal Carolina ,Sun Belt ,33,863,26.2,2023-2024
104,Wyoming ,Mountain West ,33,863,26.2,2023-2024
106,Ole Miss ,SEC ,33,862,26.1,2023-2024
107,Eastern Ky. ,ASUN ,34,888,26.1,2023-2024
108,Georgia ,SEC ,30,783,26.1,2023-2024
109,UNI ,MVC ,32,835,26.1,2023-2024
110,Idaho ,Big Sky ,31,808,26.1,2023-2024
111,FIU ,CUSA ,33,858,26,2023-2024
112,Duke ,ACC ,34,883,26,2023-2024
112,Illinois ,Big Ten ,34,883,26,2023-2024
114,Howard ,MEAC ,31,805,26,2023-2024
115,Penn St. ,Big Ten ,35,908,25.9,2023-2024
116,Minnesota ,Big Ten ,36,933,25.9,2023-2024
