Rank RbOfPG,Team,Conference,Games,Offensive Rebounds,Offensive Rebounds Per Game,Season
1,Ga. Southern ,Sun Belt ,33,587,17.8,2023-2024
2,Troy ,Sun Belt ,34,581,17.1,2023-2024
3,Memphis ,AAC ,30,506,16.9,2023-2024
4,LSU ,SEC ,37,613,16.6,2023-2024
5,Marshall ,Sun Belt ,33,541,16.4,2023-2024
6,Syracuse ,ACC ,32,522,16.3,2023-2024
7,Temple ,AAC ,32,518,16.2,2023-2024
8,Jackson St. ,SWAC ,33,526,15.9,2023-2024
9,Niagara ,MAAC ,35,556,15.9,2023-2024
10,UTSA ,AAC ,33,523,15.8,2023-2024
11,Ole Miss ,SEC ,33,507,15.4,2023-2024
12,Sam Houston ,CUSA ,29,440,15.2,2023-2024
13,James Madison ,Sun Belt ,35,530,15.1,2023-2024
14,Grambling ,SWAC ,33,496,15,2023-2024
15,UCLA ,Pac-12 ,34,510,15,2023-2024
16,Col. of Charleston ,CAA ,32,475,14.8,2023-2024
17,Dayton ,Atlantic 10 ,31,460,14.8,2023-2024
18,Oakland ,Horizon ,29,430,14.8,2023-2024
19,George Mason ,Atlantic 10 ,31,456,14.7,2023-2024
20,Old Dominion ,Sun Belt ,32,470,14.7,2023-2024
21,South Carolina ,SEC ,38,553,14.6,2023-2024
22,Texas A&M ,SEC ,32,465,14.5,2023-2024
23,Cincinnati ,Big 12 ,32,464,14.5,2023-2024
24,Texas ,Big 12 ,38,547,14.4,2023-2024
25,Bethune-Cookman ,SWAC ,31,446,14.4,2023-2024
26,Columbia ,Ivy League ,30,431,14.4,2023-2024
26,Morgan St. ,MEAC ,30,431,14.4,2023-2024
28,Coastal Carolina ,Sun Belt ,33,473,14.3,2023-2024
29,Rhode Island ,Atlantic 10 ,35,500,14.3,2023-2024
30,Furman ,SoCon ,31,442,14.3,2023-2024
31,Mercer ,SoCon ,32,456,14.3,2023-2024
32,UMES ,MEAC ,30,426,14.2,2023-2024
33,East Carolina ,AAC ,33,467,14.2,2023-2024
34,Central Mich. ,MAC ,28,396,14.1,2023-2024
35,UNC Greensboro ,SoCon ,33,464,14.1,2023-2024
36,Morehead St. ,OVC ,30,421,14,2023-2024
37,Hofstra ,CAA ,32,449,14,2023-2024
38,Oklahoma ,Big 12 ,33,462,14,2023-2024
38,Virginia ,ACC ,32,448,14,2023-2024
40,Kennesaw St. ,ASUN ,30,417,13.9,2023-2024
