Rank RPG,Team,Conference,Games,Wins,Losses,Rebounds,Rebounds Per Game,Season
1,Troy ,Sun Belt ,34,22,12,"1,628",47.88,2023-2024
2,James Madison ,Sun Belt ,35,23,12,"1,662",47.49,2023-2024
3,South Carolina ,SEC ,38,38,0,"1,761",46.34,2023-2024
4,LSU ,SEC ,37,31,6,"1,711",46.24,2023-2024
5,Ga. Southern ,Sun Belt ,33,15,18,"1,522",46.12,2023-2024
6,UTSA ,AAC ,33,18,15,"1,467",44.45,2023-2024
7,Stanford ,Pac-12 ,36,30,6,"1,594",44.28,2023-2024
8,UCLA ,Pac-12 ,34,27,7,"1,482",43.59,2023-2024
9,Oklahoma ,Big 12 ,33,23,10,"1,433",43.42,2023-2024
10,Tennessee ,SEC ,33,20,13,"1,428",43.27,2023-2024
11,Jackson St. ,SWAC ,33,26,7,"1,426",43.21,2023-2024
12,NC State ,ACC ,38,31,7,"1,618",42.58,2023-2024
13,Central Mich. ,MAC ,28,6,22,"1,183",42.25,2023-2024
14,California Baptist ,WAC ,32,28,4,"1,349",42.16,2023-2024
15,Stony Brook ,CAA ,33,28,5,"1,391",42.15,2023-2024
16,Texas A&M ,SEC ,32,19,13,"1,348",42.13,2023-2024
17,Ole Miss ,SEC ,33,24,9,"1,369",41.48,2023-2024
18,Grambling ,SWAC ,33,23,10,"1,367",41.42,2023-2024
19,Syracuse ,ACC ,32,24,8,"1,322",41.31,2023-2024
20,Iowa ,Big Ten ,39,34,5,"1,611",41.31,2023-2024
21,Col. of Charleston ,CAA ,32,22,10,"1,320",41.25,2023-2024
22,Virginia ,ACC ,32,16,16,"1,317",41.16,2023-2024
23,Monmouth ,CAA ,32,22,10,"1,313",41.03,2023-2024
24,UNLV ,Mountain West ,33,30,3,"1,354",41.03,2023-2024
25,Western Ill. ,OVC ,30,18,12,"1,228",40.93,2023-2024
26,Florida St. ,ACC ,34,23,11,"1,391",40.91,2023-2024
27,Furman ,SoCon ,31,15,16,"1,268",40.9,2023-2024
28,Nebraska ,Big Ten ,35,23,12,"1,431",40.89,2023-2024
29,N.C. A&T ,CAA ,34,22,12,"1,388",40.82,2023-2024
30,Iowa St. ,Big 12 ,33,21,12,"1,347",40.82,2023-2024
31,N.C. Central ,MEAC ,31,16,15,"1,259",40.61,2023-2024
32,Mississippi St. ,SEC ,35,23,12,"1,421",40.6,2023-2024
33,Ark.-Pine Bluff ,SWAC ,33,17,16,"1,338",40.55,2023-2024
34,Virginia Tech ,ACC ,33,25,8,"1,337",40.52,2023-2024
35,Coastal Carolina ,Sun Belt ,33,12,21,"1,336",40.48,2023-2024
36,Boise St. ,Mountain West ,35,21,14,"1,416",40.46,2023-2024
37,Temple ,AAC ,32,20,12,"1,294",40.44,2023-2024
38,Kent St. ,MAC ,32,21,11,"1,293",40.41,2023-2024
39,Murray St. ,MVC ,32,20,12,"1,292",40.38,2023-2024
40,Morehead St. ,OVC ,30,15,15,"1,211",40.37,2023-2024
41,A&M-Corpus Christi ,Southland ,32,23,9,"1,289",40.28,2023-2024
42,Baylor ,Big 12 ,34,26,8,"1,369",40.26,2023-2024
43,NIU ,MAC ,31,15,16,"1,246",40.19,2023-2024
44,Texas ,Big 12 ,38,33,5,"1,524",40.11,2023-2024
45,Towson ,CAA ,31,20,11,"1,242",40.06,2023-2024
46,Oregon St. ,Pac-12 ,35,27,8,"1,400",40,2023-2024
47,North Texas ,AAC ,32,23,9,"1,275",39.84,2023-2024
48,Columbia ,Ivy League ,30,23,7,"1,195",39.83,2023-2024
49,Memphis ,AAC ,30,13,17,"1,194",39.8,2023-2024
50,SFA ,WAC ,34,22,12,"1,352",39.76,2023-2024
51,Notre Dame ,ACC ,35,28,7,"1,391",39.74,2023-2024
52,George Mason ,Atlantic 10 ,31,23,8,"1,231",39.71,2023-2024
53,Cincinnati ,Big 12 ,32,14,18,"1,269",39.66,2023-2024
54,Southern Miss. ,Sun Belt ,34,20,14,"1,348",39.65,2023-2024
55,Lipscomb ,ASUN ,30,17,13,"1,188",39.6,2023-2024
56,South Fla. ,AAC ,33,19,14,"1,306",39.58,2023-2024
57,VCU ,Atlantic 10 ,32,26,6,"1,266",39.56,2023-2024
58,Holy Cross ,Patriot ,34,21,13,"1,345",39.56,2023-2024
58,Liberty ,CUSA ,34,18,16,"1,345",39.56,2023-2024
60,Eastern Ky. ,ASUN ,34,22,12,"1,344",39.53,2023-2024
61,Dayton ,Atlantic 10 ,31,12,19,"1,225",39.52,2023-2024
62,Old Dominion ,Sun Belt ,32,22,10,"1,264",39.5,2023-2024
63,New Mexico ,Mountain West ,32,21,11,"1,260",39.38,2023-2024
64,Marshall ,Sun Belt ,33,26,7,"1,299",39.36,2023-2024
65,BYU ,Big 12 ,33,16,17,"1,294",39.21,2023-2024
66,Charleston So. ,Big South ,30,11,19,"1,176",39.2,2023-2024
67,Northern Ariz. ,Big Sky ,35,25,10,"1,370",39.14,2023-2024
68,ULM ,Sun Belt ,35,21,14,"1,369",39.11,2023-2024
69,App State ,Sun Belt ,32,17,15,"1,251",39.09,2023-2024
70,Bethune-Cookman ,SWAC ,31,15,16,"1,211",39.06,2023-2024
71,Eastern Ill. ,OVC ,33,15,18,"1,288",39.03,2023-2024
72,UNC Greensboro ,SoCon ,33,21,12,"1,285",38.94,2023-2024
73,UIW ,Southland ,30,19,11,"1,168",38.93,2023-2024
74,FIU ,CUSA ,33,21,12,"1,284",38.91,2023-2024
75,Alabama ,SEC ,34,24,10,"1,322",38.88,2023-2024
76,Oral Roberts ,Summit League ,32,21,11,"1,244",38.88,2023-2024
77,Delaware ,CAA ,31,11,20,"1,205",38.87,2023-2024
78,Rhode Island ,Atlantic 10 ,35,21,14,"1,360",38.86,2023-2024
79,North Dakota ,Summit League ,30,9,21,"1,163",38.77,2023-2024
80,Drake ,MVC ,35,29,6,"1,355",38.71,2023-2024
81,Long Beach St. ,Big West ,33,15,18,"1,277",38.7,2023-2024
81,North Carolina ,ACC ,33,20,13,"1,277",38.7,2023-2024
83,Merrimack ,NEC ,31,12,19,"1,198",38.65,2023-2024
84,Maryland ,Big Ten ,33,19,14,"1,275",38.64,2023-2024
85,Alabama A&M ,SWAC ,31,15,16,"1,196",38.58,2023-2024
86,South Dakota St. ,Summit League ,33,27,6,"1,272",38.55,2023-2024
87,Georgia ,SEC ,30,12,18,"1,156",38.53,2023-2024
88,Howard ,MEAC ,31,15,16,"1,193",38.48,2023-2024
89,UConn ,Big East ,39,33,6,"1,500",38.46,2023-2024
90,UNC Asheville ,Big South ,31,11,20,"1,192",38.45,2023-2024
91,Northwestern St. ,Southland ,30,11,19,"1,153",38.43,2023-2024
92,Southern California ,Pac-12 ,35,29,6,"1,345",38.43,2023-2024
93,Oregon ,Pac-12 ,32,11,21,"1,229",38.41,2023-2024
94,DePaul ,Big East ,32,12,20,"1,228",38.38,2023-2024
94,Wichita St. ,AAC ,32,10,22,"1,228",38.38,2023-2024
96,Mercer ,SoCon ,32,15,17,"1,226",38.31,2023-2024
97,Duke ,ACC ,34,22,12,"1,302",38.29,2023-2024
98,Georgia St. ,Sun Belt ,30,15,15,"1,148",38.27,2023-2024
99,Illinois St. ,MVC ,34,22,12,"1,301",38.26,2023-2024
100,Miami FL,ACC ,31,19,12,"1,186",38.26,2023-2024
101,Minnesota ,Big Ten ,36,20,16,"1,377",38.25,2023-2024
102,Gonzaga ,WCC ,36,32,4,"1,376",38.22,2023-2024
103,UMES ,MEAC ,30,15,15,"1,146",38.2,2023-2024
104,South Dakota ,Summit League ,36,23,13,"1,375",38.19,2023-2024
105,Lamar University ,Southland ,31,24,7,"1,183",38.16,2023-2024
106,Hofstra ,CAA ,32,11,21,"1,221",38.16,2023-2024
107,Kansas St. ,Big 12 ,34,26,8,"1,297",38.15,2023-2024
