Rank ScDef,Team,Conference,Games,Wins,Losses,Opponet Points,Opponet PPG,Season
1,UAlbany ,America East ,32,25,7,"1,641",51.3,2023-2024
2,Vermont ,America East ,37,25,12,"1,955",52.8,2023-2024
3,Norfolk St. ,MEAC ,33,27,6,"1,751",53.1,2023-2024
4,VCU ,Atlantic 10 ,32,26,6,"1,701",53.2,2023-2024
5,Saint Joseph's ,Atlantic 10 ,34,28,6,"1,852",54.5,2023-2024
6,Chattanooga ,SoCon ,33,28,5,"1,798",54.5,2023-2024
7,FGCU ,ASUN ,34,29,5,"1,871",55,2023-2024
8,Campbell ,CAA ,31,17,14,"1,707",55.1,2023-2024
9,Georgetown ,Big East ,35,23,12,"1,929",55.1,2023-2024
10,Fairfield ,MAAC ,33,31,2,"1,820",55.2,2023-2024
11,Davidson ,Atlantic 10 ,26,18,8,"1,440",55.4,2023-2024
12,Middle Tenn. ,CUSA ,35,30,5,"1,943",55.5,2023-2024
13,ETSU ,SoCon ,30,18,12,"1,669",55.6,2023-2024
14,UC Irvine ,Big West ,32,23,9,"1,781",55.7,2023-2024
15,Colgate ,Patriot ,34,20,14,"1,894",55.7,2023-2024
16,Drexel ,CAA ,34,19,15,"1,900",55.9,2023-2024
17,Eastern Wash. ,Big Sky ,35,29,6,"1,965",56.1,2023-2024
18,UNC Greensboro ,SoCon ,33,21,12,"1,853",56.2,2023-2024
19,Grand Canyon ,WAC ,32,24,8,"1,798",56.2,2023-2024
20,Princeton ,Ivy League ,30,25,5,"1,686",56.2,2023-2024
21,Hawaii ,Big West ,31,20,11,"1,746",56.3,2023-2024
22,Sacred Heart ,NEC ,34,24,10,"1,918",56.4,2023-2024
23,South Carolina ,SEC ,38,38,0,"2,149",56.6,2023-2024
24,Rhode Island ,Atlantic 10 ,35,21,14,"1,984",56.7,2023-2024
25,Manhattan ,MAAC ,30,18,12,"1,702",56.7,2023-2024
26,N.C. A&T ,CAA ,34,22,12,"1,931",56.8,2023-2024
27,Holy Cross ,Patriot ,34,21,13,"1,933",56.9,2023-2024
28,Maine ,America East ,34,24,10,"1,938",57,2023-2024
29,Idaho ,Big Sky ,31,15,16,"1,773",57.2,2023-2024
30,UConn ,Big East ,39,33,6,"2,231",57.2,2023-2024
31,UIW ,Southland ,30,19,11,"1,722",57.4,2023-2024
32,Jackson St. ,SWAC ,33,26,7,"1,898",57.5,2023-2024
33,Stony Brook ,CAA ,33,28,5,"1,901",57.6,2023-2024
34,Lamar University ,Southland ,31,24,7,"1,786",57.6,2023-2024
35,Texas ,Big 12 ,38,33,5,"2,191",57.7,2023-2024
36,Howard ,MEAC ,31,15,16,"1,788",57.7,2023-2024
37,West Virginia ,Big 12 ,33,25,8,"1,908",57.8,2023-2024
38,Duke ,ACC ,34,22,12,"1,967",57.9,2023-2024
39,A&M-Corpus Christi ,Southland ,32,23,9,"1,854",57.9,2023-2024
40,Kansas St. ,Big 12 ,34,26,8,"1,970",57.9,2023-2024
41,Montana St. ,Big Sky ,33,17,16,"1,915",58,2023-2024
42,Southeastern La. ,Southland ,31,19,12,"1,799",58,2023-2024
43,Green Bay ,Horizon ,34,27,7,"1,977",58.1,2023-2024
44,St. John's NY,Big East ,33,18,15,"1,920",58.2,2023-2024
45,George Washington ,Atlantic 10 ,31,13,18,"1,804",58.2,2023-2024
46,UC Riverside ,Big West ,32,18,14,"1,865",58.3,2023-2024
47,Monmouth ,CAA ,32,22,10,"1,866",58.3,2023-2024
48,Dartmouth ,Ivy League ,26,7,19,"1,519",58.4,2023-2024
49,Mount St. Mary's ,MAAC ,31,14,17,"1,815",58.5,2023-2024
50,George Mason ,Atlantic 10 ,31,23,8,"1,820",58.7,2023-2024
51,Texas A&M ,SEC ,32,19,13,"1,879",58.7,2023-2024
