Rank ScrOf,Team,Conference,Games,Wins,Losses,Points,Points Per Game,Season
1,Iowa ,Big Ten ,39,34,5,"3,548",91,2023-2024
2,LSU ,SEC ,37,31,6,"3,179",85.9,2023-2024
3,South Carolina ,SEC ,38,38,0,"3,247",85.4,2023-2024
4,Marshall ,Sun Belt ,33,26,7,"2,814",85.3,2023-2024
5,Murray St. ,MVC ,32,20,12,"2,704",84.5,2023-2024
6,Michigan St. ,Big Ten ,31,22,9,"2,567",82.8,2023-2024
7,Penn St. ,Big Ten ,35,22,13,"2,894",82.7,2023-2024
8,Oral Roberts ,Summit League ,32,21,11,"2,628",82.1,2023-2024
9,Drake ,MVC ,35,29,6,"2,843",81.2,2023-2024
10,Troy ,Sun Belt ,34,22,12,"2,749",80.9,2023-2024
11,California Baptist ,WAC ,32,28,4,"2,569",80.3,2023-2024
12,Texas ,Big 12 ,38,33,5,"3,043",80.1,2023-2024
13,Gonzaga ,WCC ,36,32,4,"2,879",80,2023-2024
14,UConn ,Big East ,39,33,6,"3,107",79.7,2023-2024
15,Indiana ,Big Ten ,32,26,6,"2,544",79.5,2023-2024
16,Ohio St. ,Big Ten ,32,26,6,"2,537",79.3,2023-2024
17,UNLV ,Mountain West ,33,30,3,"2,608",79,2023-2024
18,Notre Dame ,ACC ,35,28,7,"2,751",78.6,2023-2024
19,Florida St. ,ACC ,34,23,11,"2,668",78.5,2023-2024
20,Maryland ,Big Ten ,33,19,14,"2,571",77.9,2023-2024
21,Stanford ,Pac-12 ,36,30,6,"2,789",77.5,2023-2024
22,Utah ,Pac-12 ,34,23,11,"2,630",77.4,2023-2024
23,UCLA ,Pac-12 ,34,27,7,"2,629",77.3,2023-2024
24,Oklahoma ,Big 12 ,33,23,10,"2,523",76.5,2023-2024
25,Tennessee ,SEC ,33,20,13,"2,518",76.3,2023-2024
26,Columbia ,Ivy League ,30,23,7,"2,272",75.7,2023-2024
27,SFA ,WAC ,34,22,12,"2,572",75.6,2023-2024
28,Mississippi St. ,SEC ,35,23,12,"2,647",75.6,2023-2024
29,North Dakota St. ,Summit League ,34,22,12,"2,565",75.4,2023-2024
30,Iowa St. ,Big 12 ,33,21,12,"2,487",75.4,2023-2024
31,Col. of Charleston ,CAA ,32,22,10,"2,411",75.3,2023-2024
32,Northern Ariz. ,Big Sky ,35,25,10,"2,636",75.3,2023-2024
33,Virginia Tech ,ACC ,33,25,8,"2,482",75.2,2023-2024
34,Colorado ,Pac-12 ,34,24,10,"2,555",75.1,2023-2024
35,Southern California ,Pac-12 ,35,29,6,"2,622",74.9,2023-2024
36,FGCU ,ASUN ,34,29,5,"2,546",74.9,2023-2024
37,Baylor ,Big 12 ,34,26,8,"2,544",74.8,2023-2024
38,Florida ,SEC ,32,16,16,"2,389",74.7,2023-2024
39,Illinois ,Big Ten ,34,19,15,"2,533",74.5,2023-2024
40,North Texas ,AAC ,32,23,9,"2,379",74.3,2023-2024
41,Cleveland St. ,Horizon ,35,29,6,"2,602",74.3,2023-2024
42,Western Ill. ,OVC ,30,18,12,"2,230",74.3,2023-2024
43,Illinois St. ,MVC ,34,22,12,"2,525",74.3,2023-2024
44,ULM ,Sun Belt ,35,21,14,"2,597",74.2,2023-2024
45,Syracuse ,ACC ,32,24,8,"2,369",74,2023-2024
46,Green Bay ,Horizon ,34,27,7,"2,512",73.9,2023-2024
47,West Virginia ,Big 12 ,33,25,8,"2,431",73.7,2023-2024
48,South Dakota St. ,Summit League ,33,27,6,"2,428",73.6,2023-2024
49,NC State ,ACC ,38,31,7,"2,791",73.4,2023-2024
50,Creighton ,Big East ,32,26,6,"2,350",73.4,2023-2024
51,Louisville ,ACC ,34,24,10,"2,496",73.4,2023-2024
52,UNI ,MVC ,32,16,16,"2,349",73.4,2023-2024
53,Alabama ,SEC ,34,24,10,"2,487",73.1,2023-2024
54,Richmond ,Atlantic 10 ,35,29,6,"2,558",73.1,2023-2024
55,Ark.-Pine Bluff ,SWAC ,33,17,16,"2,409",73,2023-2024
56,Stony Brook ,CAA ,33,28,5,"2,405",72.9,2023-2024
57,Ball St. ,MAC ,34,28,6,"2,472",72.7,2023-2024
57,Toledo ,MAC ,34,28,6,"2,472",72.7,2023-2024
59,Montana ,Big Sky ,33,23,10,"2,392",72.5,2023-2024
60,Virginia ,ACC ,32,16,16,"2,319",72.5,2023-2024
61,Fairfield ,MAAC ,33,31,2,"2,391",72.5,2023-2024
62,Nebraska ,Big Ten ,35,23,12,"2,533",72.4,2023-2024
63,Omaha ,Summit League ,31,8,23,"2,242",72.3,2023-2024
64,Ga. Southern ,Sun Belt ,33,15,18,"2,385",72.3,2023-2024
65,James Madison ,Sun Belt ,35,23,12,"2,529",72.3,2023-2024
66,App State ,Sun Belt ,32,17,15,"2,310",72.2,2023-2024
67,Saint Louis ,Atlantic 10 ,40,22,18,"2,883",72.1,2023-2024
68,Grambling ,SWAC ,33,23,10,"2,374",71.9,2023-2024
69,UAB ,AAC ,32,18,14,"2,302",71.9,2023-2024
70,Eastern Ky. ,ASUN ,34,22,12,"2,444",71.9,2023-2024
71,Kent St. ,MAC ,32,21,11,"2,296",71.8,2023-2024
72,Kansas St. ,Big 12 ,34,26,8,"2,437",71.7,2023-2024
73,Jackson St. ,SWAC ,33,26,7,"2,356",71.4,2023-2024
74,Oakland ,Horizon ,29,12,17,"2,070",71.4,2023-2024
75,Middle Tenn. ,CUSA ,35,30,5,"2,498",71.4,2023-2024
76,Pacific ,WCC ,34,19,15,"2,424",71.3,2023-2024
77,DePaul ,Big East ,32,12,20,"2,279",71.2,2023-2024
78,George Mason ,Atlantic 10 ,31,23,8,"2,204",71.1,2023-2024
79,Boston College ,ACC ,33,14,19,"2,342",71,2023-2024
80,Purdue Fort Wayne ,Horizon ,36,23,13,"2,554",70.9,2023-2024
81,Oregon St. ,Pac-12 ,35,27,8,"2,483",70.9,2023-2024
82,South Dakota ,Summit League ,36,23,13,"2,551",70.9,2023-2024
83,Tulsa ,AAC ,35,25,10,"2,480",70.9,2023-2024
84,Niagara ,MAAC ,35,21,14,"2,479",70.8,2023-2024
85,Belmont ,MVC ,35,26,9,"2,470",70.6,2023-2024
86,Wright St. ,Horizon ,33,18,15,"2,316",70.2,2023-2024
87,Michigan ,Big Ten ,34,20,14,"2,379",70,2023-2024
88,Missouri ,SEC ,30,11,19,"2,099",70,2023-2024
89,Temple ,AAC ,32,20,12,"2,238",69.9,2023-2024
90,Tennessee Tech ,OVC ,31,16,15,"2,168",69.9,2023-2024
91,Abilene Christian ,WAC ,30,14,16,"2,098",69.9,2023-2024
92,Arizona ,Pac-12 ,34,18,16,"2,376",69.9,2023-2024
93,UT Arlington ,WAC ,33,17,16,"2,306",69.9,2023-2024
94,SMU ,AAC ,30,14,16,"2,095",69.8,2023-2024
95,Georgia St. ,Sun Belt ,30,15,15,"2,094",69.8,2023-2024
96,Marquette ,Big East ,32,23,9,"2,228",69.6,2023-2024
97,Clemson ,ACC ,31,12,19,"2,158",69.6,2023-2024
98,Santa Clara ,WCC ,34,25,9,"2,365",69.6,2023-2024
99,Minnesota ,Big Ten ,36,20,16,"2,503",69.5,2023-2024
100,TCU ,Big 12 ,33,21,12,"2,294",69.5,2023-2024
101,Grand Canyon ,WAC ,32,24,8,"2,223",69.5,2023-2024
102,Arkansas ,SEC ,33,18,15,"2,292",69.5,2023-2024
103,Missouri St. ,MVC ,33,23,10,"2,287",69.3,2023-2024
104,UIC ,MVC ,34,18,16,"2,352",69.2,2023-2024
105,Princeton ,Ivy League ,30,25,5,"2,075",69.2,2023-2024
106,Washington St. ,Pac-12 ,36,21,15,"2,487",69.1,2023-2024
107,Duquesne ,Atlantic 10 ,34,21,13,"2,346",69,2023-2024
108,Oklahoma St. ,Big 12 ,30,14,16,"2,069",69,2023-2024
109,Harvard ,Ivy League ,28,16,12,"1,929",68.9,2023-2024
110,Lehigh ,Patriot ,30,17,13,"2,065",68.8,2023-2024
111,Colorado St. ,Mountain West ,31,20,11,"2,127",68.6,2023-2024
112,FIU ,CUSA ,33,21,12,"2,263",68.6,2023-2024
113,Ole Miss ,SEC ,33,24,9,"2,261",68.5,2023-2024
114,Vanderbilt ,SEC ,33,23,10,"2,260",68.5,2023-2024
115,Siena ,MAAC ,30,18,12,"2,053",68.4,2023-2024
116,Texas A&M ,SEC ,32,19,13,"2,188",68.4,2023-2024
117,Eastern Wash. ,Big Sky ,35,29,6,"2,392",68.3,2023-2024
118,Northern Ky. ,Horizon ,31,11,20,"2,118",68.3,2023-2024
119,Purdue ,Big Ten ,34,15,19,"2,318",68.2,2023-2024
120,Kansas ,Big 12 ,33,20,13,"2,249",68.2,2023-2024
121,Duke ,ACC ,34,22,12,"2,316",68.1,2023-2024
