Rank StPG,Team,Conference,Games,Wins,Losses,Steals,Steals Per Game,Season
1,Niagara ,MAAC ,35,21,14,530,15.1,2023-2024
2,West Virginia ,Big 12 ,33,25,8,449,13.6,2023-2024
3,Marshall ,Sun Belt ,33,26,7,435,13.2,2023-2024
4,Norfolk St. ,MEAC ,33,27,6,414,12.5,2023-2024
5,Oakland ,Horizon ,29,12,17,352,12.1,2023-2024
6,Arizona ,Pac-12 ,34,18,16,398,11.7,2023-2024
7,Boston College ,ACC ,33,14,19,383,11.6,2023-2024
8,Grambling ,SWAC ,33,23,10,372,11.3,2023-2024
9,Utah Valley ,WAC ,29,10,19,326,11.2,2023-2024
10,Houston ,Big 12 ,30,14,16,335,11.2,2023-2024
11,Siena ,MAAC ,30,18,12,334,11.1,2023-2024
12,Southern Ill. ,MVC ,31,11,20,345,11.1,2023-2024
13,Notre Dame ,ACC ,35,28,7,389,11.1,2023-2024
14,A&M-Corpus Christi ,Southland ,32,23,9,354,11.1,2023-2024
15,UC Riverside ,Big West ,32,18,14,353,11,2023-2024
16,Ohio ,MAC ,30,11,19,330,11,2023-2024
17,Portland ,WCC ,34,21,13,373,11,2023-2024
18,Bethune-Cookman ,SWAC ,31,15,16,339,10.9,2023-2024
19,Air Force ,Mountain West ,32,15,17,347,10.8,2023-2024
19,Oral Roberts ,Summit League ,32,21,11,347,10.8,2023-2024
21,Longwood ,Big South ,30,9,21,322,10.7,2023-2024
22,Western Ky. ,CUSA ,32,15,17,343,10.7,2023-2024
23,Old Dominion ,Sun Belt ,32,22,10,342,10.7,2023-2024
24,Long Beach St. ,Big West ,33,15,18,352,10.7,2023-2024
24,Memphis ,AAC ,30,13,17,320,10.7,2023-2024
26,LSU ,SEC ,37,31,6,393,10.6,2023-2024
27,East Carolina ,AAC ,33,19,14,350,10.6,2023-2024
28,Ohio St. ,Big Ten ,32,26,6,336,10.5,2023-2024
29,Ball St. ,MAC ,34,28,6,356,10.5,2023-2024
30,Morgan St. ,MEAC ,30,8,22,314,10.5,2023-2024
31,Auburn ,SEC ,32,20,12,334,10.4,2023-2024
32,Southern U. ,SWAC ,30,15,15,311,10.4,2023-2024
33,UC Irvine ,Big West ,32,23,9,330,10.3,2023-2024
34,Prairie View ,SWAC ,29,11,18,299,10.3,2023-2024
35,Col. of Charleston ,CAA ,32,22,10,329,10.3,2023-2024
36,Grand Canyon ,WAC ,32,24,8,325,10.2,2023-2024
37,UConn ,Big East ,39,33,6,396,10.2,2023-2024
38,Vanderbilt ,SEC ,33,23,10,334,10.1,2023-2024
39,Colorado ,Pac-12 ,34,24,10,344,10.1,2023-2024
