Rank 3PtAPG,Team,Conference,Games,3pt Field Goals Made,3pt Field Goals Attempt,Avg,Season
1,Marshall ,Sun Belt ,33,350,"1,054",31.9,2023-2024
2,FGCU ,ASUN ,34,323,"1,025",30.1,2023-2024
3,California Baptist ,WAC ,32,311,957,29.9,2023-2024
4,Arkansas ,SEC ,33,288,969,29.4,2023-2024
5,Iowa ,Big Ten ,39,426,"1,132",29,2023-2024
6,Utah ,Pac-12 ,34,348,966,28.4,2023-2024
7,Abilene Christian ,WAC ,30,258,847,28.2,2023-2024
8,Montana ,Big Sky ,33,357,927,28.1,2023-2024
9,La Salle ,Atlantic 10 ,30,237,841,28,2023-2024
10,Denver ,Summit League ,30,247,821,27.4,2023-2024
11,North Florida ,ASUN ,30,230,798,26.6,2023-2024
12,Fairfield ,MAAC ,33,292,877,26.6,2023-2024
13,Tulsa ,AAC ,35,316,930,26.6,2023-2024
14,Lehigh ,Patriot ,30,245,786,26.2,2023-2024
15,California ,Pac-12 ,34,282,882,25.9,2023-2024
16,TCU ,Big 12 ,33,312,852,25.8,2023-2024
16,Virginia Tech ,ACC ,33,298,852,25.8,2023-2024
18,Gardner-Webb ,Big South ,30,226,771,25.7,2023-2024
19,Oklahoma ,Big 12 ,33,263,841,25.5,2023-2024
20,UC Davis ,Big West ,34,287,866,25.5,2023-2024
21,Purdue Fort Wayne ,Horizon ,36,319,915,25.4,2023-2024
22,Nebraska ,Big Ten ,35,292,877,25.1,2023-2024
23,Wofford ,SoCon ,30,233,750,25,2023-2024
24,Creighton ,Big East ,32,286,799,25,2023-2024
25,Drake ,MVC ,35,289,866,24.7,2023-2024
26,North Ala. ,ASUN ,30,239,740,24.7,2023-2024
27,Ohio ,MAC ,30,211,738,24.6,2023-2024
28,Murray St. ,MVC ,32,251,787,24.6,2023-2024
29,Ball St. ,MAC ,34,274,836,24.6,2023-2024
30,Jacksonville St. ,CUSA ,29,187,711,24.5,2023-2024
31,Middle Tenn. ,CUSA ,35,297,857,24.5,2023-2024
32,Michigan St. ,Big Ten ,31,283,757,24.4,2023-2024
33,Columbia ,Ivy League ,30,238,731,24.4,2023-2024
34,CSU Bakersfield ,Big West ,29,217,706,24.3,2023-2024
35,South Dakota ,Summit League ,36,285,876,24.3,2023-2024
36,Brown ,Ivy League ,27,193,655,24.3,2023-2024
37,Valparaiso ,MVC ,30,230,727,24.2,2023-2024
38,DePaul ,Big East ,32,233,775,24.2,2023-2024
