Rank 3ptPct,Team,Conference,Games,Wins,Losses,3pt Field Goals,3pt Field Goal Attempts,3 pt Field Goal Percent,Season
1,Indiana ,Big Ten ,32,26,6,268,677,39.6,2023-2024
2,Gonzaga ,WCC ,36,32,4,336,849,39.6,2023-2024
3,South Carolina ,SEC ,38,38,0,253,640,39.5,2023-2024
4,Montana ,Big Sky ,33,23,10,357,927,38.5,2023-2024
5,Butler ,Big East ,32,15,17,266,694,38.3,2023-2024
6,Iowa St. ,Big 12 ,33,21,12,285,745,38.3,2023-2024
7,Richmond ,Atlantic 10 ,35,29,6,320,840,38.1,2023-2024
8,South Dakota St. ,Summit League ,33,27,6,223,586,38.1,2023-2024
9,Iowa ,Big Ten ,39,34,5,426,"1,132",37.6,2023-2024
10,Michigan St. ,Big Ten ,31,22,9,283,757,37.4,2023-2024
11,Penn St. ,Big Ten ,35,22,13,294,787,37.4,2023-2024
12,Chattanooga ,SoCon ,33,28,5,210,567,37,2023-2024
13,North Dakota St. ,Summit League ,34,22,12,246,669,36.8,2023-2024
14,TCU ,Big 12 ,33,21,12,312,852,36.6,2023-2024
15,Texas ,Big 12 ,38,33,5,148,405,36.5,2023-2024
16,UAlbany ,America East ,32,25,7,176,483,36.4,2023-2024
17,Cleveland St. ,Horizon ,35,29,6,191,525,36.4,2023-2024
18,Marquette ,Big East ,32,23,9,211,581,36.3,2023-2024
19,BYU ,Big 12 ,33,16,17,229,632,36.2,2023-2024
20,UConn ,Big East ,39,33,6,279,770,36.2,2023-2024
21,Maryland ,Big Ten ,33,19,14,191,528,36.2,2023-2024
22,Colorado St. ,Mountain West ,31,20,11,258,715,36.1,2023-2024
23,Utah ,Pac-12 ,34,23,11,348,966,36,2023-2024
24,VCU ,Atlantic 10 ,32,26,6,177,493,35.9,2023-2024
25,Creighton ,Big East ,32,26,6,286,799,35.8,2023-2024
26,Santa Clara ,WCC ,34,25,9,271,758,35.8,2023-2024
27,Oregon St. ,Pac-12 ,35,27,8,272,762,35.7,2023-2024
28,Southern California ,Pac-12 ,35,29,6,271,760,35.7,2023-2024
28,UAB ,AAC ,32,18,14,271,760,35.7,2023-2024
30,Missouri ,SEC ,30,11,19,246,692,35.5,2023-2024
31,UT Martin ,OVC ,33,16,17,196,552,35.5,2023-2024
32,UNLV ,Mountain West ,33,30,3,257,724,35.5,2023-2024
33,Boston U. ,Patriot ,32,20,12,196,553,35.4,2023-2024
34,Northern Colo. ,Big Sky ,31,15,16,199,562,35.4,2023-2024
35,Michigan ,Big Ten ,34,20,14,239,677,35.3,2023-2024
36,Colorado ,Pac-12 ,34,24,10,229,649,35.3,2023-2024
37,UC Santa Barbara ,Big West ,31,16,15,221,628,35.2,2023-2024
38,SIUE ,OVC ,31,5,26,246,701,35.1,2023-2024
39,Illinois St. ,MVC ,34,22,12,243,693,35.1,2023-2024
40,Notre Dame ,ACC ,35,28,7,196,559,35.1,2023-2024
41,Mississippi St. ,SEC ,35,23,12,213,608,35,2023-2024
42,Alabama ,SEC ,34,24,10,249,711,35,2023-2024
43,Virginia Tech ,ACC ,33,25,8,298,852,35,2023-2024
44,Purdue Fort Wayne ,Horizon ,36,23,13,319,915,34.9,2023-2024
45,Ohio St. ,Big Ten ,32,26,6,237,681,34.8,2023-2024
46,Northwestern ,Big Ten ,30,9,21,165,476,34.7,2023-2024
47,Middle Tenn. ,CUSA ,35,30,5,297,857,34.7,2023-2024
48,Colgate ,Patriot ,34,20,14,132,381,34.6,2023-2024
49,Stanford ,Pac-12 ,36,30,6,264,763,34.6,2023-2024
50,Belmont ,MVC ,35,26,9,279,808,34.5,2023-2024
51,Omaha ,Summit League ,31,8,23,197,571,34.5,2023-2024
52,Boise St. ,Mountain West ,35,21,14,231,671,34.4,2023-2024
53,Western Ill. ,OVC ,30,18,12,216,628,34.4,2023-2024
54,Saint Mary's CA,WCC ,31,13,18,184,537,34.3,2023-2024
55,Washington St. ,Pac-12 ,36,21,15,225,658,34.2,2023-2024
56,Green Bay ,Horizon ,34,27,7,227,664,34.2,2023-2024
57,Tennessee Tech ,OVC ,31,16,15,235,688,34.2,2023-2024
58,Col. of Charleston ,CAA ,32,22,10,252,741,34,2023-2024
59,Tulsa ,AAC ,35,25,10,316,930,34,2023-2024
60,Mercer ,SoCon ,32,15,17,170,501,33.9,2023-2024
61,Northern Ariz. ,Big Sky ,35,25,10,270,798,33.8,2023-2024
62,Canisius ,MAAC ,31,17,14,229,677,33.8,2023-2024
63,Bowling Green ,MAC ,31,16,15,214,634,33.8,2023-2024
64,Saint Joseph's ,Atlantic 10 ,34,28,6,202,600,33.7,2023-2024
65,Liberty ,CUSA ,34,18,16,230,684,33.6,2023-2024
66,Western Mich. ,MAC ,30,12,18,237,705,33.6,2023-2024
67,Duquesne ,Atlantic 10 ,34,21,13,276,822,33.6,2023-2024
68,Loyola Chicago ,Atlantic 10 ,31,15,16,204,608,33.6,2023-2024
69,Jacksonville ,ASUN ,31,11,20,155,462,33.5,2023-2024
70,Iona ,MAAC ,30,11,19,208,620,33.5,2023-2024
71,Northern Ky. ,Horizon ,31,11,20,219,654,33.5,2023-2024
72,Baylor ,Big 12 ,34,26,8,259,774,33.5,2023-2024
73,Illinois ,Big Ten ,34,19,15,181,541,33.5,2023-2024
74,Davidson ,Atlantic 10 ,26,18,8,164,491,33.4,2023-2024
75,Binghamton ,America East ,31,14,17,203,608,33.4,2023-2024
76,UNI ,MVC ,32,16,16,242,725,33.4,2023-2024
77,Drake ,MVC ,35,29,6,289,866,33.4,2023-2024
78,Fairfield ,MAAC ,33,31,2,292,877,33.3,2023-2024
78,Nebraska ,Big Ten ,35,23,12,292,877,33.3,2023-2024
80,Cal Poly ,Big West ,31,17,14,164,493,33.3,2023-2024
81,Marshall ,Sun Belt ,33,26,7,350,"1,054",33.2,2023-2024
82,Purdue ,Big Ten ,34,15,19,215,648,33.2,2023-2024
83,UC Davis ,Big West ,34,20,14,287,866,33.1,2023-2024
84,Idaho ,Big Sky ,31,15,16,201,607,33.1,2023-2024
85,Stony Brook ,CAA ,33,28,5,234,707,33.1,2023-2024
86,Fla. Atlantic ,AAC ,30,11,19,201,608,33.1,2023-2024
87,Oklahoma St. ,Big 12 ,30,14,16,220,666,33,2023-2024
88,Princeton ,Ivy League ,30,25,5,150,455,33,2023-2024
89,Kansas ,Big 12 ,33,20,13,179,543,33,2023-2024
90,San Jose St. ,Mountain West ,31,7,24,204,620,32.9,2023-2024
91,Lafayette ,Patriot ,30,10,20,151,459,32.9,2023-2024
92,Fresno St. ,Mountain West ,33,15,18,225,684,32.9,2023-2024
93,Northeastern ,CAA ,27,10,17,170,517,32.9,2023-2024
94,Toledo ,MAC ,34,28,6,228,694,32.9,2023-2024
95,Missouri St. ,MVC ,33,23,10,158,481,32.8,2023-2024
96,Wright St. ,Horizon ,33,18,15,262,799,32.8,2023-2024
97,Ball St. ,MAC ,34,28,6,274,836,32.8,2023-2024
98,LSU ,SEC ,37,31,6,161,492,32.7,2023-2024
99,Pacific ,WCC ,34,19,15,161,493,32.7,2023-2024
100,NC State ,ACC ,38,31,7,234,717,32.6,2023-2024
101,Milwaukee ,Horizon ,32,16,16,219,672,32.6,2023-2024
102,Columbia ,Ivy League ,30,23,7,238,731,32.6,2023-2024
103,Nevada ,Mountain West ,32,16,16,194,596,32.6,2023-2024
104,South Dakota ,Summit League ,36,23,13,285,876,32.5,2023-2024
105,California Baptist ,WAC ,32,28,4,311,957,32.5,2023-2024
106,Louisiana ,Sun Belt ,31,17,14,160,493,32.5,2023-2024
107,Eastern Wash. ,Big Sky ,35,29,6,246,758,32.5,2023-2024
108,Holy Cross ,Patriot ,34,21,13,202,623,32.4,2023-2024
109,Syracuse ,ACC ,32,24,8,225,695,32.4,2023-2024
110,Grand Canyon ,WAC ,32,24,8,188,581,32.4,2023-2024
111,George Mason ,Atlantic 10 ,31,23,8,216,668,32.3,2023-2024
112,Campbell ,CAA ,31,17,14,213,659,32.3,2023-2024
113,Florida ,SEC ,32,16,16,198,613,32.3,2023-2024
114,Texas St. ,Sun Belt ,32,14,18,177,548,32.3,2023-2024
115,North Ala. ,ASUN ,30,12,18,239,740,32.3,2023-2024
116,Louisville ,ACC ,34,24,10,165,511,32.3,2023-2024
117,Arizona St. ,Pac-12 ,31,11,20,140,434,32.3,2023-2024
118,West Virginia ,Big 12 ,33,25,8,230,715,32.2,2023-2024
119,Miami FL,ACC ,31,19,12,201,625,32.2,2023-2024
120,Sacramento St. ,Big Sky ,31,6,25,196,610,32.1,2023-2024
121,Rutgers ,Big Ten ,32,8,24,166,517,32.1,2023-2024
