Rank 3ptPctDef,Team,Conference,Games,Wins,Losses,Opp 3Pt FGA,Opp 3Pt FG,Pct,Season
1,Colgate ,Patriot ,34,20,14,395,96,24.3,2023-2024
2,VCU ,Atlantic 10 ,32,26,6,617,150,24.3,2023-2024
3,Stony Brook ,CAA ,33,28,5,659,166,25.2,2023-2024
4,Wofford ,SoCon ,30,17,13,739,188,25.4,2023-2024
5,A&M-Corpus Christi ,Southland ,32,23,9,638,163,25.5,2023-2024
6,Bethune-Cookman ,SWAC ,31,15,16,528,135,25.6,2023-2024
7,Monmouth ,CAA ,32,22,10,512,132,25.8,2023-2024
8,Baylor ,Big 12 ,34,26,8,594,156,26.3,2023-2024
9,Jackson St. ,SWAC ,33,26,7,548,145,26.5,2023-2024
10,Campbell ,CAA ,31,17,14,494,131,26.5,2023-2024
11,Holy Cross ,Patriot ,34,21,13,607,161,26.5,2023-2024
12,Kansas St. ,Big 12 ,34,26,8,598,159,26.6,2023-2024
13,South Dakota St. ,Summit League ,33,27,6,690,184,26.7,2023-2024
14,Chattanooga ,SoCon ,33,28,5,463,124,26.8,2023-2024
15,N.C. Central ,MEAC ,31,16,15,572,154,26.9,2023-2024
16,North Texas ,AAC ,32,23,9,727,196,27,2023-2024
17,Southeastern La. ,Southland ,31,19,12,613,166,27.1,2023-2024
18,Buffalo ,MAC ,33,19,14,786,213,27.1,2023-2024
19,Old Dominion ,Sun Belt ,32,22,10,556,151,27.2,2023-2024
20,South Carolina ,SEC ,38,38,0,781,213,27.3,2023-2024
20,Vermont ,America East ,37,25,12,495,135,27.3,2023-2024
22,Oregon St. ,Pac-12 ,35,27,8,645,176,27.3,2023-2024
23,Texas St. ,Sun Belt ,32,14,18,535,146,27.3,2023-2024
24,Hawaii ,Big West ,31,20,11,636,174,27.4,2023-2024
25,Louisiana ,Sun Belt ,31,17,14,573,158,27.6,2023-2024
26,UAlbany ,America East ,32,25,7,528,146,27.7,2023-2024
27,TCU ,Big 12 ,33,21,12,654,182,27.8,2023-2024
28,Notre Dame ,ACC ,35,28,7,649,181,27.9,2023-2024
29,South Dakota ,Summit League ,36,23,13,811,227,28,2023-2024
30,Sacred Heart ,NEC ,34,24,10,546,153,28,2023-2024
31,Howard ,MEAC ,31,15,16,638,179,28.1,2023-2024
32,Canisius ,MAAC ,31,17,14,613,172,28.1,2023-2024
33,ULM ,Sun Belt ,35,21,14,733,206,28.1,2023-2024
34,Fairfield ,MAAC ,33,31,2,576,162,28.1,2023-2024
35,UNC Greensboro ,SoCon ,33,21,12,455,128,28.1,2023-2024
36,UConn ,Big East ,39,33,6,881,248,28.1,2023-2024
