Rank 3ptPG,Team,Conference,Games,Wins,Losses,3pt Field Goals,3pt Field Goals per Game,Season
1,Iowa ,Big Ten ,39,34,5,426,10.9,2023-2024
2,Montana ,Big Sky ,33,23,10,357,10.8,2023-2024
3,Marshall ,Sun Belt ,33,26,7,350,10.6,2023-2024
4,Utah ,Pac-12 ,34,23,11,348,10.2,2023-2024
5,California Baptist ,WAC ,32,28,4,311,9.7,2023-2024
6,FGCU ,ASUN ,34,29,5,323,9.5,2023-2024
7,TCU ,Big 12 ,33,21,12,312,9.5,2023-2024
8,Gonzaga ,WCC ,36,32,4,336,9.3,2023-2024
9,Richmond ,Atlantic 10 ,35,29,6,320,9.1,2023-2024
10,Michigan St. ,Big Ten ,31,22,9,283,9.1,2023-2024
11,Virginia Tech ,ACC ,33,25,8,298,9,2023-2024
12,Tulsa ,AAC ,35,25,10,316,9,2023-2024
13,Creighton ,Big East ,32,26,6,286,8.9,2023-2024
14,Purdue Fort Wayne ,Horizon ,36,23,13,319,8.9,2023-2024
15,Fairfield ,MAAC ,33,31,2,292,8.8,2023-2024
16,Arkansas ,SEC ,33,18,15,288,8.7,2023-2024
17,Iowa St. ,Big 12 ,33,21,12,285,8.6,2023-2024
18,Abilene Christian ,WAC ,30,14,16,258,8.6,2023-2024
19,Middle Tenn. ,CUSA ,35,30,5,297,8.5,2023-2024
20,UAB ,AAC ,32,18,14,271,8.5,2023-2024
21,UC Davis ,Big West ,34,20,14,287,8.4,2023-2024
22,Penn St. ,Big Ten ,35,22,13,294,8.4,2023-2024
23,Indiana ,Big Ten ,32,26,6,268,8.4,2023-2024
24,Nebraska ,Big Ten ,35,23,12,292,8.3,2023-2024
25,Colorado St. ,Mountain West ,31,20,11,258,8.3,2023-2024
26,Butler ,Big East ,32,15,17,266,8.3,2023-2024
27,California ,Pac-12 ,34,19,15,282,8.3,2023-2024
28,Drake ,MVC ,35,29,6,289,8.3,2023-2024
29,Denver ,Summit League ,30,8,22,247,8.2,2023-2024
30,Missouri ,SEC ,30,11,19,246,8.2,2023-2024
31,Lehigh ,Patriot ,30,17,13,245,8.2,2023-2024
32,Duquesne ,Atlantic 10 ,34,21,13,276,8.1,2023-2024
33,Ball St. ,MAC ,34,28,6,274,8.1,2023-2024
34,Belmont ,MVC ,35,26,9,279,8,2023-2024
35,Santa Clara ,WCC ,34,25,9,271,8,2023-2024
36,Oklahoma ,Big 12 ,33,23,10,263,8,2023-2024
37,North Ala. ,ASUN ,30,12,18,239,8,2023-2024
38,Wright St. ,Horizon ,33,18,15,262,7.9,2023-2024
39,SIUE ,OVC ,31,5,26,246,7.9,2023-2024
40,Columbia ,Ivy League ,30,23,7,238,7.9,2023-2024
41,South Dakota ,Summit League ,36,23,13,285,7.9,2023-2024
42,La Salle ,Atlantic 10 ,30,8,22,237,7.9,2023-2024
42,Western Mich. ,MAC ,30,12,18,237,7.9,2023-2024
44,Col. of Charleston ,CAA ,32,22,10,252,7.9,2023-2024
45,Murray St. ,MVC ,32,20,12,251,7.8,2023-2024
46,UNLV ,Mountain West ,33,30,3,257,7.8,2023-2024
47,Oregon St. ,Pac-12 ,35,27,8,272,7.8,2023-2024
48,Wofford ,SoCon ,30,17,13,233,7.8,2023-2024
49,Southern California ,Pac-12 ,35,29,6,271,7.7,2023-2024
50,Northern Ariz. ,Big Sky ,35,25,10,270,7.7,2023-2024
51,North Florida ,ASUN ,30,9,21,230,7.7,2023-2024
51,Valparaiso ,MVC ,30,5,25,230,7.7,2023-2024
53,Baylor ,Big 12 ,34,26,8,259,7.6,2023-2024
54,Tennessee Tech ,OVC ,31,16,15,235,7.6,2023-2024
55,ULM ,Sun Belt ,35,21,14,265,7.6,2023-2024
56,UNI ,MVC ,32,16,16,242,7.6,2023-2024
57,Gardner-Webb ,Big South ,30,6,24,226,7.5,2023-2024
58,CSU Bakersfield ,Big West ,29,8,21,217,7.5,2023-2024
59,App State ,Sun Belt ,32,17,15,237,7.4,2023-2024
59,Ohio St. ,Big Ten ,32,26,6,237,7.4,2023-2024
61,Canisius ,MAAC ,31,17,14,229,7.4,2023-2024
62,Stanford ,Pac-12 ,36,30,6,264,7.3,2023-2024
62,Oklahoma St. ,Big 12 ,30,14,16,220,7.3,2023-2024
64,Alabama ,SEC ,34,24,10,249,7.3,2023-2024
65,Maine ,America East ,34,24,10,248,7.3,2023-2024
66,DePaul ,Big East ,32,12,20,233,7.3,2023-2024
67,Lipscomb ,ASUN ,30,17,13,218,7.3,2023-2024
68,Hawaii ,Big West ,31,20,11,225,7.3,2023-2024
69,North Dakota St. ,Summit League ,34,22,12,246,7.2,2023-2024
70,Tulane ,AAC ,32,12,20,231,7.2,2023-2024
71,Western Ill. ,OVC ,30,18,12,216,7.2,2023-2024
72,FDU ,NEC ,31,14,17,223,7.2,2023-2024
73,UConn ,Big East ,39,33,6,279,7.2,2023-2024
74,Brown ,Ivy League ,27,16,11,193,7.1,2023-2024
75,Illinois St. ,MVC ,34,22,12,243,7.1,2023-2024
76,UC Santa Barbara ,Big West ,31,16,15,221,7.1,2023-2024
77,Stony Brook ,CAA ,33,28,5,234,7.1,2023-2024
78,Florida St. ,ACC ,34,23,11,241,7.1,2023-2024
78,SFA ,WAC ,34,22,12,241,7.1,2023-2024
80,Northern Ky. ,Horizon ,31,11,20,219,7.1,2023-2024
81,Ohio ,MAC ,30,11,19,211,7,2023-2024
82,Syracuse ,ACC ,32,24,8,225,7,2023-2024
83,Michigan ,Big Ten ,34,20,14,239,7,2023-2024
84,Eastern Wash. ,Big Sky ,35,29,6,246,7,2023-2024
85,UCLA ,Pac-12 ,34,27,7,238,7,2023-2024
85,Siena ,MAAC ,30,18,12,210,7,2023-2024
87,West Virginia ,Big 12 ,33,25,8,230,7,2023-2024
88,High Point ,Big South ,32,20,12,223,7,2023-2024
89,George Mason ,Atlantic 10 ,31,23,8,216,7,2023-2024
90,BYU ,Big 12 ,33,16,17,229,6.9,2023-2024
91,Iona ,MAAC ,30,11,19,208,6.9,2023-2024
92,Bowling Green ,MAC ,31,16,15,214,6.9,2023-2024
93,Campbell ,CAA ,31,17,14,213,6.9,2023-2024
93,Clemson ,ACC ,31,12,19,213,6.9,2023-2024
93,George Washington ,Atlantic 10 ,31,13,18,213,6.9,2023-2024
96,Milwaukee ,Horizon ,32,16,16,219,6.8,2023-2024
97,Fresno St. ,Mountain West ,33,15,18,225,6.8,2023-2024
98,Virginia ,ACC ,32,16,16,218,6.8,2023-2024
99,New Mexico ,Mountain West ,32,21,11,217,6.8,2023-2024
100,NIU ,MAC ,31,15,16,210,6.8,2023-2024
101,Liberty ,CUSA ,34,18,16,230,6.8,2023-2024
102,South Dakota St. ,Summit League ,33,27,6,223,6.8,2023-2024
102,Tennessee ,SEC ,33,20,13,223,6.8,2023-2024
104,Colorado ,Pac-12 ,34,24,10,229,6.7,2023-2024
105,Morehead St. ,OVC ,30,15,15,202,6.7,2023-2024
106,Kent St. ,MAC ,32,21,11,215,6.7,2023-2024
106,Youngstown St. ,Horizon ,32,14,18,215,6.7,2023-2024
108,Washington ,Pac-12 ,31,16,15,208,6.7,2023-2024
109,Toledo ,MAC ,34,28,6,228,6.7,2023-2024
110,Fla. Atlantic ,AAC ,30,11,19,201,6.7,2023-2024
110,Houston ,Big 12 ,30,14,16,201,6.7,2023-2024
112,Minnesota ,Big Ten ,36,20,16,241,6.7,2023-2024
113,Western Ky. ,CUSA ,32,15,17,214,6.7,2023-2024
114,Green Bay ,Horizon ,34,27,7,227,6.7,2023-2024
115,Texas Tech ,Big 12 ,33,17,16,220,6.7,2023-2024
116,South Carolina ,SEC ,38,38,0,253,6.7,2023-2024
117,Arkansas St. ,Sun Belt ,30,13,17,199,6.6,2023-2024
118,Harvard ,Ivy League ,28,16,12,185,6.6,2023-2024
119,Boise St. ,Mountain West ,35,21,14,231,6.6,2023-2024
120,Marquette ,Big East ,32,23,9,211,6.6,2023-2024
121,Seattle U ,WAC ,29,6,23,191,6.6,2023-2024
122,Loyola Chicago ,Atlantic 10 ,31,15,16,204,6.6,2023-2024
122,San Jose St. ,Mountain West ,31,7,24,204,6.6,2023-2024
124,UTRGV ,WAC ,29,6,23,190,6.6,2023-2024
125,Binghamton ,America East ,31,14,17,203,6.5,2023-2024
126,Oakland ,Horizon ,29,12,17,189,6.5,2023-2024
127,Idaho ,Big Sky ,31,15,16,201,6.5,2023-2024
127,Miami FL,ACC ,31,19,12,201,6.5,2023-2024
129,San Francisco ,WCC ,30,14,16,194,6.5,2023-2024
130,Portland St. ,Big Sky ,31,8,23,200,6.5,2023-2024
131,Jacksonville St. ,CUSA ,29,12,17,187,6.4,2023-2024
132,Monmouth ,CAA ,32,22,10,206,6.4,2023-2024
133,Vanderbilt ,SEC ,33,23,10,212,6.4,2023-2024
134,Northern Colo. ,Big Sky ,31,15,16,199,6.4,2023-2024
135,Kansas St. ,Big 12 ,34,26,8,218,6.4,2023-2024
136,Air Force ,Mountain West ,32,15,17,205,6.4,2023-2024
137,LMU CA,WCC ,30,11,19,192,6.4,2023-2024
138,Wake Forest ,ACC ,32,7,25,204,6.4,2023-2024
139,Chattanooga ,SoCon ,33,28,5,210,6.4,2023-2024
140,Omaha ,Summit League ,31,8,23,197,6.4,2023-2024
140,Towson ,CAA ,31,20,11,197,6.4,2023-2024
142,Purdue ,Big Ten ,34,15,19,215,6.3,2023-2024
143,Sacramento St. ,Big Sky ,31,6,25,196,6.3,2023-2024
144,Davidson ,Atlantic 10 ,26,18,8,164,6.3,2023-2024
145,Northeastern ,CAA ,27,10,17,170,6.3,2023-2024
146,Long Beach St. ,Big West ,33,15,18,207,6.3,2023-2024
147,Washington St. ,Pac-12 ,36,21,15,225,6.3,2023-2024
148,Florida ,SEC ,32,16,16,198,6.2,2023-2024
149,Central Ark. ,ASUN ,33,21,12,204,6.2,2023-2024
150,NC State ,ACC ,38,31,7,234,6.2,2023-2024
151,Penn ,Ivy League ,28,15,13,172,6.1,2023-2024
152,Bryant ,America East ,30,15,15,184,6.1,2023-2024
153,Boston U. ,Patriot ,32,20,12,196,6.1,2023-2024
154,Xavier ,Big East ,28,1,27,171,6.1,2023-2024
155,Mississippi St. ,SEC ,35,23,12,213,6.1,2023-2024
156,ETSU ,SoCon ,30,18,12,182,6.1,2023-2024
156,Southern Utah ,WAC ,30,8,22,182,6.1,2023-2024
158,Nevada ,Mountain West ,32,16,16,194,6.1,2023-2024
159,South Fla. ,AAC ,33,19,14,200,6.1,2023-2024
160,Villanova ,Big East ,35,22,13,212,6.1,2023-2024
161,Georgia St. ,Sun Belt ,30,15,15,181,6,2023-2024
162,FIU ,CUSA ,33,21,12,199,6,2023-2024
162,Louisiana Tech ,CUSA ,33,14,19,199,6,2023-2024
164,Portland ,WCC ,34,21,13,205,6,2023-2024
165,Nicholls ,Southland ,32,14,18,192,6,2023-2024
166,Delaware ,CAA ,31,11,20,185,6,2023-2024
166,Furman ,SoCon ,31,15,16,185,6,2023-2024
