Rank TOMrg,Team,Conference,Games,Wins,Losses,Turnovers,Opponents Turnovers,Margin,Season
1,West Virginia ,Big 12 ,33,25,8,493,779,8.67,2023-2024
2,Niagara ,MAAC ,35,21,14,681,961,8,2023-2024
3,Marshall ,Sun Belt ,33,26,7,537,799,7.94,2023-2024
4,Ohio St. ,Big Ten ,32,26,6,425,674,7.78,2023-2024
5,Norfolk St. ,MEAC ,33,27,6,448,697,7.55,2023-2024
6,Oral Roberts ,Summit League ,32,21,11,408,645,7.41,2023-2024
7,Col. of Charleston ,CAA ,32,22,10,425,648,6.97,2023-2024
8,Michigan St. ,Big Ten ,31,22,9,368,563,6.29,2023-2024
9,UC Riverside ,Big West ,32,18,14,452,641,5.91,2023-2024
10,Texas ,Big 12 ,38,33,5,519,743,5.89,2023-2024
11,Houston ,Big 12 ,30,14,16,463,634,5.7,2023-2024
12,George Mason ,Atlantic 10 ,31,23,8,409,582,5.58,2023-2024
13,Eastern Wash. ,Big Sky ,35,29,6,404,597,5.51,2023-2024
14,Sacred Heart ,NEC ,34,24,10,445,627,5.35,2023-2024
15,FGCU ,ASUN ,34,29,5,450,630,5.29,2023-2024
16,Oakland ,Horizon ,29,12,17,429,582,5.28,2023-2024
17,Notre Dame ,ACC ,35,28,7,489,672,5.23,2023-2024
18,Boston College ,ACC ,33,14,19,517,683,5.03,2023-2024
19,Ball St. ,MAC ,34,28,6,486,657,5.03,2023-2024
20,Auburn ,SEC ,32,20,12,497,656,4.97,2023-2024
21,Western Ky. ,CUSA ,32,15,17,474,631,4.91,2023-2024
22,Arizona ,Pac-12 ,34,18,16,510,669,4.68,2023-2024
23,Temple ,AAC ,32,20,12,459,608,4.66,2023-2024
24,Princeton ,Ivy League ,30,25,5,394,527,4.43,2023-2024
25,Air Force ,Mountain West ,32,15,17,473,614,4.41,2023-2024
26,Bethune-Cookman ,SWAC ,31,15,16,501,637,4.39,2023-2024
27,LSU ,SEC ,37,31,6,566,725,4.3,2023-2024
28,UC Irvine ,Big West ,32,23,9,469,604,4.22,2023-2024
29,Colorado St. ,Mountain West ,31,20,11,283,410,4.1,2023-2024
30,UConn ,Big East ,39,33,6,505,664,4.08,2023-2024
31,Old Dominion ,Sun Belt ,32,22,10,536,666,4.06,2023-2024
32,Green Bay ,Horizon ,34,27,7,373,511,4.06,2023-2024
33,Southern U. ,SWAC ,30,15,15,493,614,4.03,2023-2024
34,Villanova ,Big East ,35,22,13,384,524,4,2023-2024
35,Purdue Fort Wayne ,Horizon ,36,23,13,490,632,3.94,2023-2024
36,East Carolina ,AAC ,33,19,14,568,697,3.91,2023-2024
37,Memphis ,AAC ,30,13,17,487,604,3.9,2023-2024
38,Nevada ,Mountain West ,32,16,16,467,587,3.75,2023-2024
39,Lamar University ,Southland ,31,24,7,424,536,3.61,2023-2024
