Rank TOPG,Team,Conference,Games,Wins,Losses,Turnovers,Turnovers Per Game,Season
1,Colorado St. ,Mountain West ,31,20,11,283,9.1,2023-2024
2,UNLV ,Mountain West ,33,30,3,344,10.4,2023-2024
3,Creighton ,Big East ,32,26,6,346,10.8,2023-2024
4,Green Bay ,Horizon ,34,27,7,373,11,2023-2024
5,Villanova ,Big East ,35,22,13,384,11,2023-2024
6,Eastern Wash. ,Big Sky ,35,29,6,404,11.5,2023-2024
7,Florida St. ,ACC ,34,23,11,393,11.6,2023-2024
8,Middle Tenn. ,CUSA ,35,30,5,414,11.8,2023-2024
9,Michigan St. ,Big Ten ,31,22,9,368,11.9,2023-2024
10,NC State ,ACC ,38,31,7,458,12.1,2023-2024
11,Wofford ,SoCon ,30,17,13,362,12.1,2023-2024
12,Southern California ,Pac-12 ,35,29,6,423,12.1,2023-2024
13,Vermont ,America East ,37,25,12,457,12.4,2023-2024
14,Arizona St. ,Pac-12 ,31,11,20,383,12.4,2023-2024
15,Chattanooga ,SoCon ,33,28,5,409,12.4,2023-2024
16,Illinois ,Big Ten ,34,19,15,422,12.4,2023-2024
17,Stanford ,Pac-12 ,36,30,6,448,12.4,2023-2024
18,Maine ,America East ,34,24,10,425,12.5,2023-2024
19,Washington St. ,Pac-12 ,36,21,15,451,12.5,2023-2024
20,Virginia Tech ,ACC ,33,25,8,415,12.6,2023-2024
21,UNI ,MVC ,32,16,16,405,12.7,2023-2024
22,Arkansas ,SEC ,33,18,15,418,12.7,2023-2024
23,Holy Cross ,Patriot ,34,21,13,431,12.7,2023-2024
24,Oral Roberts ,Summit League ,32,21,11,408,12.8,2023-2024
25,Montana ,Big Sky ,33,23,10,424,12.8,2023-2024
26,UConn ,Big East ,39,33,6,505,12.9,2023-2024
27,Toledo ,MAC ,34,28,6,442,13,2023-2024
28,South Carolina ,SEC ,38,38,0,495,13,2023-2024
29,Indiana ,Big Ten ,32,26,6,417,13,2023-2024
30,Saint Joseph's ,Atlantic 10 ,34,28,6,444,13.1,2023-2024
31,North Carolina ,ACC ,33,20,13,431,13.1,2023-2024
32,Sacred Heart ,NEC ,34,24,10,445,13.1,2023-2024
33,Princeton ,Ivy League ,30,25,5,394,13.1,2023-2024
34,UNC Greensboro ,SoCon ,33,21,12,434,13.2,2023-2024
35,George Mason ,Atlantic 10 ,31,23,8,409,13.2,2023-2024
36,FGCU ,ASUN ,34,29,5,450,13.2,2023-2024
37,Gonzaga ,WCC ,36,32,4,477,13.3,2023-2024
38,Wyoming ,Mountain West ,33,18,15,438,13.3,2023-2024
39,Col. of Charleston ,CAA ,32,22,10,425,13.3,2023-2024
39,Ohio St. ,Big Ten ,32,26,6,425,13.3,2023-2024
41,Southeastern La. ,Southland ,31,19,12,414,13.4,2023-2024
42,South Fla. ,AAC ,33,19,14,441,13.4,2023-2024
42,St. John's NY,Big East ,33,18,15,441,13.4,2023-2024
44,Fresno St. ,Mountain West ,33,15,18,442,13.4,2023-2024
44,Kansas ,Big 12 ,33,20,13,442,13.4,2023-2024
46,Georgia Tech ,ACC ,33,17,16,443,13.4,2023-2024
47,San Diego St. ,Mountain West ,35,22,13,470,13.4,2023-2024
48,Colgate ,Patriot ,34,20,14,458,13.5,2023-2024
48,Santa Clara ,WCC ,34,25,9,458,13.5,2023-2024
50,Minnesota ,Big Ten ,36,20,16,485,13.5,2023-2024
51,CSU Bakersfield ,Big West ,29,8,21,391,13.5,2023-2024
52,Northern Ariz. ,Big Sky ,35,25,10,472,13.5,2023-2024
53,Kent St. ,MAC ,32,21,11,432,13.5,2023-2024
54,Drexel ,CAA ,34,19,15,460,13.5,2023-2024
55,Idaho ,Big Sky ,31,15,16,420,13.5,2023-2024
56,Norfolk St. ,MEAC ,33,27,6,448,13.6,2023-2024
57,Purdue Fort Wayne ,Horizon ,36,23,13,490,13.6,2023-2024
58,ULM ,Sun Belt ,35,21,14,477,13.6,2023-2024
59,ETSU ,SoCon ,30,18,12,409,13.6,2023-2024
60,Washington ,Pac-12 ,31,16,15,423,13.6,2023-2024
61,Oregon St. ,Pac-12 ,35,27,8,478,13.7,2023-2024
62,Texas ,Big 12 ,38,33,5,519,13.7,2023-2024
63,Arkansas St. ,Sun Belt ,30,13,17,410,13.7,2023-2024
64,Lamar University ,Southland ,31,24,7,424,13.7,2023-2024
65,Seton Hall ,Big East ,32,17,15,440,13.8,2023-2024
66,Wright St. ,Horizon ,33,18,15,455,13.8,2023-2024
67,Iowa ,Big Ten ,39,34,5,538,13.8,2023-2024
68,Harvard ,Ivy League ,28,16,12,387,13.8,2023-2024
69,Utah ,Pac-12 ,34,23,11,470,13.8,2023-2024
70,Denver ,Summit League ,30,8,22,415,13.8,2023-2024
71,Buffalo ,MAC ,33,19,14,458,13.9,2023-2024
72,Colorado ,Pac-12 ,34,24,10,472,13.9,2023-2024
73,Loyola Maryland ,Patriot ,31,16,15,431,13.9,2023-2024
73,Towson ,CAA ,31,20,11,431,13.9,2023-2024
75,Davidson ,Atlantic 10 ,26,18,8,363,14,2023-2024
76,Notre Dame ,ACC ,35,28,7,489,14,2023-2024
77,Oregon ,Pac-12 ,32,11,21,448,14,2023-2024
78,Binghamton ,America East ,31,14,17,435,14,2023-2024
79,Mississippi St. ,SEC ,35,23,12,492,14.1,2023-2024
80,Kansas St. ,Big 12 ,34,26,8,480,14.1,2023-2024
81,UAB ,AAC ,32,18,14,452,14.1,2023-2024
81,UC Riverside ,Big West ,32,18,14,452,14.1,2023-2024
83,Central Conn. St. ,NEC ,30,9,21,424,14.1,2023-2024
84,Troy ,Sun Belt ,34,22,12,482,14.2,2023-2024
85,Rhode Island ,Atlantic 10 ,35,21,14,497,14.2,2023-2024
86,California Baptist ,WAC ,32,28,4,455,14.2,2023-2024
86,New Mexico ,Mountain West ,32,21,11,455,14.2,2023-2024
88,Nebraska ,Big Ten ,35,23,12,498,14.2,2023-2024
89,Texas A&M ,SEC ,32,19,13,456,14.3,2023-2024
90,Richmond ,Atlantic 10 ,35,29,6,500,14.3,2023-2024
91,Ball St. ,MAC ,34,28,6,486,14.3,2023-2024
92,TCU ,Big 12 ,33,21,12,472,14.3,2023-2024
93,Missouri St. ,MVC ,33,23,10,473,14.3,2023-2024
93,Lipscomb ,ASUN ,30,17,13,430,14.3,2023-2024
95,Mercer ,SoCon ,32,15,17,459,14.3,2023-2024
95,Temple ,AAC ,32,20,12,459,14.3,2023-2024
97,Oklahoma St. ,Big 12 ,30,14,16,431,14.4,2023-2024
98,UIW ,Southland ,30,19,11,432,14.4,2023-2024
99,Army West Point ,Patriot ,29,12,17,418,14.4,2023-2024
100,Navy ,Patriot ,31,14,17,449,14.5,2023-2024
101,Belmont ,MVC ,35,26,9,507,14.5,2023-2024
102,Purdue ,Big Ten ,34,15,19,494,14.5,2023-2024
103,Butler ,Big East ,32,15,17,465,14.5,2023-2024
103,Virginia ,ACC ,32,16,16,465,14.5,2023-2024
105,Cleveland St. ,Horizon ,35,29,6,510,14.6,2023-2024
106,Illinois St. ,MVC ,34,22,12,496,14.6,2023-2024
107,Nevada ,Mountain West ,32,16,16,467,14.6,2023-2024
107,Nicholls ,Southland ,32,14,18,467,14.6,2023-2024
109,Samford ,SoCon ,30,14,16,438,14.6,2023-2024
110,SMU ,AAC ,30,14,16,439,14.6,2023-2024
111,Marquette ,Big East ,32,23,9,469,14.7,2023-2024
111,UC Irvine ,Big West ,32,23,9,469,14.7,2023-2024
113,Vanderbilt ,SEC ,33,23,10,484,14.7,2023-2024
113,Little Rock ,OVC ,30,12,18,440,14.7,2023-2024
115,Syracuse ,ACC ,32,24,8,470,14.7,2023-2024
116,South Dakota St. ,Summit League ,33,27,6,485,14.7,2023-2024
117,Hawaii ,Big West ,31,20,11,456,14.7,2023-2024
118,Louisiana ,Sun Belt ,31,17,14,458,14.8,2023-2024
119,Air Force ,Mountain West ,32,15,17,473,14.8,2023-2024
119,DePaul ,Big East ,32,12,20,473,14.8,2023-2024
121,Oakland ,Horizon ,29,12,17,429,14.8,2023-2024
122,Western Ky. ,CUSA ,32,15,17,474,14.8,2023-2024
123,UT Arlington ,WAC ,33,17,16,489,14.8,2023-2024
124,Yale ,Ivy League ,27,8,19,401,14.9,2023-2024
125,Wake Forest ,ACC ,32,7,25,476,14.9,2023-2024
126,California ,Pac-12 ,34,19,15,506,14.9,2023-2024
127,West Virginia ,Big 12 ,33,25,8,493,14.9,2023-2024
128,Tennessee ,SEC ,33,20,13,494,15,2023-2024
129,Arizona ,Pac-12 ,34,18,16,510,15,2023-2024
129,Michigan ,Big Ten ,34,20,14,510,15,2023-2024
