Rank WnPct,Team,Conference,Wins,Losses,Percentage,Season
1,South Carolina ,SEC ,38,0,100,2023-2024
2,Fairfield ,MAAC ,31,2,93.9,2023-2024
3,UNLV ,Mountain West ,30,3,90.9,2023-2024
4,Gonzaga ,WCC ,32,4,88.9,2023-2024
5,California Baptist ,WAC ,28,4,87.5,2023-2024
6,Iowa ,Big Ten ,34,5,87.2,2023-2024
7,Texas ,Big 12 ,33,5,86.8,2023-2024
8,Middle Tenn. ,CUSA ,30,5,85.7,2023-2024
9,FGCU ,ASUN ,29,5,85.3,2023-2024
10,Chattanooga ,SoCon ,28,5,84.8,2023-2024
10,Stony Brook ,CAA ,28,5,84.8,2023-2024
12,UConn ,Big East ,33,6,84.6,2023-2024
13,LSU ,SEC ,31,6,83.8,2023-2024
14,Stanford ,Pac-12 ,30,6,83.3,2023-2024
14,Princeton ,Ivy League ,25,5,83.3,2023-2024
16,Cleveland St. ,Horizon ,29,6,82.9,2023-2024
16,Drake ,MVC ,29,6,82.9,2023-2024
16,Eastern Wash. ,Big Sky ,29,6,82.9,2023-2024
16,Richmond ,Atlantic 10 ,29,6,82.9,2023-2024
16,Southern California ,Pac-12 ,29,6,82.9,2023-2024
21,Ball St. ,MAC ,28,6,82.4,2023-2024
21,Saint Joseph's ,Atlantic 10 ,28,6,82.4,2023-2024
21,Toledo ,MAC ,28,6,82.4,2023-2024
24,Norfolk St. ,MEAC ,27,6,81.8,2023-2024
24,South Dakota St. ,Summit League ,27,6,81.8,2023-2024
26,NC State ,ACC ,31,7,81.6,2023-2024
27,Creighton ,Big East ,26,6,81.3,2023-2024
27,Indiana ,Big Ten ,26,6,81.3,2023-2024
27,Ohio St. ,Big Ten ,26,6,81.3,2023-2024
27,VCU ,Atlantic 10 ,26,6,81.3,2023-2024
31,Notre Dame ,ACC ,28,7,80,2023-2024
32,Green Bay ,Horizon ,27,7,79.4,2023-2024
32,UCLA ,Pac-12 ,27,7,79.4,2023-2024
34,Jackson St. ,SWAC ,26,7,78.8,2023-2024
34,Marshall ,Sun Belt ,26,7,78.8,2023-2024
36,UAlbany ,America East ,25,7,78.1,2023-2024
37,Lamar University ,Southland ,24,7,77.4,2023-2024
38,Oregon St. ,Pac-12 ,27,8,77.1,2023-2024
39,Columbia ,Ivy League ,23,7,76.7,2023-2024
40,Baylor ,Big 12 ,26,8,76.5,2023-2024
40,Kansas St. ,Big 12 ,26,8,76.5,2023-2024
42,Virginia Tech ,ACC ,25,8,75.8,2023-2024
42,West Virginia ,Big 12 ,25,8,75.8,2023-2024
44,Grand Canyon ,WAC ,24,8,75,2023-2024
